metric,players_analyzed,nominal_significant,fdr_significant,alpha,correction
PC1,1000,233,93,0.05,Benjamini-Hochberg FDR
PC2,1000,179,32,0.05,Benjamini-Hochberg FDR
DeltaMMR,1000,110,4,0.05,Benjamini-Hochberg FDR
