component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction
PC1,0.23640044051390416,0.40915450833712685,0.4638033821655052,0.4388224776804549,0.4234970736518848,-0.18376607040002285,0.306518135979426,-0.2489087545671737
PC2,-0.12608447157833144,-0.09986681973001296,0.09602058072472967,0.20027655594383043,0.25771005986303763,0.6517581620536351,0.3064865102999396,0.58280486940863
PC3,-0.9197619754727352,0.1280322956444442,-0.06417483524414916,0.10212111937951665,-0.004954421913208301,-0.14851370913656742,0.2663821673021364,-0.17337295086023705
PC4,0.20564434503096837,-0.5485496285251313,-0.13898290514805212,-0.05799607276742427,-0.0943880619341614,-0.15522319378245317,0.7524208583201477,-0.18703855715586298
PC5,-0.1080470950843523,-0.43246714764910904,-0.0022940803610642657,-0.10603925653398746,0.6232076934923412,0.2755966367041164,-0.28257831638497094,-0.4958392526166753
PC6,-0.03132829572701309,-0.38233197806997027,-0.23185215644366475,0.6130616775907878,0.1831324691608855,-0.46441161912955625,-0.2568735206576082,0.328696051992417
PC7,-0.09979646355296765,-0.09310125428365798,0.365949195547261,-0.5801219295007384,0.3683614042121526,-0.4467438440997225,0.040031612973303196,0.4171808230400727
PC8,-0.13172273370953944,-0.4042855725122122,0.7513669638686209,0.17292041290004517,-0.4332281691203169,0.06386742119829689,-0.16606927375287575,-0.0735106522703814
