component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction,win_rate
PC1,0.21338888112701962,0.37113631946548165,0.42862884758588404,0.40217228334800714,0.3909144823483729,-0.17434592786276618,0.2909676378203815,-0.23365720890583092,0.3857321489121188
PC2,-0.12402057998041383,-0.09669038816771365,0.09894916694550812,0.2032114223183754,0.26035249538835237,0.6508583311183838,0.30755279720915424,0.5814659366114656,-0.009627939844880744
PC3,-0.9125691441108135,0.06355925036305352,-0.09387076505024021,0.06631690053083278,-0.031330155884191205,-0.14542381509790753,0.2909310636950178,-0.16628436134393193,0.12468796961767306
PC4,0.2542083078077882,-0.5961985192875735,-0.1641807815521854,-0.13207739879190827,-0.12585547357438998,-0.11239623684912406,0.6494315185037747,-0.1278146231733518,0.2625934198119577
PC5,-0.10141890079964128,-0.1543065299749221,0.03569318462108542,-0.2983450588010081,0.09786352874520103,0.1280143024238541,-0.42168339357459483,0.1003005360537952,0.8134973325067054
PC6,-0.07802946345455607,-0.39332618074579045,-0.03922376048653001,0.005838013123914035,0.6090938134519243,0.26868114872069093,-0.19174282950323793,-0.5532263526509303,-0.22720869127818863
PC7,-0.034916545630311636,-0.3835972179203526,-0.22102867196284184,0.5946694243282195,0.18074530004930808,-0.4751115122902869,-0.2620963185161473,0.3484763886346367,0.024870162208253943
PC8,-0.07694854960680758,-0.05002891577663452,0.3120013187754851,-0.5597587888334258,0.45414128957533895,-0.44428404464651283,0.11278978207043772,0.3486722275303974,-0.20730369820771297
PC9,-0.13477811231531575,-0.4065103207043981,0.7884848256329252,0.13825599214141862,-0.37827972257056425,0.02257094271013743,-0.13545743766773982,-0.06470622903094184,-0.09808450707086064
