component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction
PC1,0.1831183268439649,0.25457972006293494,0.4902927780273349,0.47252818976389055,0.48552598688561954,0.28397761467249727,0.25903402550739024,0.23347280409577614
PC2,0.18230642646818984,0.3880113405714325,0.23933472167919326,0.10921137891320083,0.07829933852486923,-0.5893200799575572,-0.10578820520402787,-0.618371445618308
PC3,0.6194618725409161,-0.6077478852136337,0.03181152587998515,-0.06706788464821609,0.024792122968572805,-0.12186539975132318,0.4490673392039074,-0.15579512829014594
PC4,-0.6297397558998448,-0.06325716196439617,-0.06669234550687929,0.18076512023869976,-0.030227099432536098,-0.1502787382675201,0.7060799607439621,-0.2006394427218059
PC5,-0.2720197108871978,-0.5228451861718768,-0.11439626768357847,0.24587486724782942,0.6045122927481745,-0.056981250265842616,-0.4086586495294089,-0.20835874107163455
PC6,-0.14486384359410756,0.049878329479422195,0.32287199827203616,-0.7532126114785846,0.3409699582419264,0.3099836957346811,0.09722971250270047,-0.2883522718320878
PC7,-0.13424245511270644,-0.10127717794292182,0.2878969368621596,-0.27679511601692713,0.17013754543732584,-0.6507895834470155,0.008446068961548679,0.5997303657447329
PC8,-0.19981386464124823,-0.3537872269774023,0.7047372284066131,0.15237004319382647,-0.49594656352204497,0.10844282579119613,-0.21206838108453183,-0.11109449927393343
