metric,phase_local_peak,correction,alpha
PC1,0.1863244129734447,Benjamini-Hochberg FDR,0.05
PC1,14.241690320274522,Benjamini-Hochberg FDR,0.05
PC1,15.922135547330026,Benjamini-Hochberg FDR,0.05
PC1,16.048025062394956,Benjamini-Hochberg FDR,0.05
PC1,23.603743691885242,Benjamini-Hochberg FDR,0.05
PC1,22.960860078072173,Benjamini-Hochberg FDR,0.05
PC1,8.300506847366506,Benjamini-Hochberg FDR,0.05
PC1,22.59787466210202,Benjamini-Hochberg FDR,0.05
PC1,21.59730325995491,Benjamini-Hochberg FDR,0.05
PC1,4.602918070667599,Benjamini-Hochberg FDR,0.05
PC1,16.043540488393408,Benjamini-Hochberg FDR,0.05
PC1,17.278462698581983,Benjamini-Hochberg FDR,0.05
PC1,0.9913969725242922,Benjamini-Hochberg FDR,0.05
PC1,1.537463799513585,Benjamini-Hochberg FDR,0.05
PC1,7.3121407318205875,Benjamini-Hochberg FDR,0.05
PC1,7.989812422027899,Benjamini-Hochberg FDR,0.05
PC1,6.0692665256478655,Benjamini-Hochberg FDR,0.05
PC1,23.517830657268036,Benjamini-Hochberg FDR,0.05
PC1,14.802988664860608,Benjamini-Hochberg FDR,0.05
PC1,6.86859984681066,Benjamini-Hochberg FDR,0.05
PC1,7.824110641219228,Benjamini-Hochberg FDR,0.05
PC1,19.647088329952503,Benjamini-Hochberg FDR,0.05
PC1,11.454972793372209,Benjamini-Hochberg FDR,0.05
PC1,13.776049418105256,Benjamini-Hochberg FDR,0.05
PC1,14.572051862544141,Benjamini-Hochberg FDR,0.05
PC1,6.47851283150262,Benjamini-Hochberg FDR,0.05
PC1,3.2568269203429097,Benjamini-Hochberg FDR,0.05
PC1,20.04118514567579,Benjamini-Hochberg FDR,0.05
PC1,11.457544138966446,Benjamini-Hochberg FDR,0.05
PC1,4.159455233382971,Benjamini-Hochberg FDR,0.05
PC1,0.7282860792784973,Benjamini-Hochberg FDR,0.05
PC1,7.203843897420953,Benjamini-Hochberg FDR,0.05
PC1,6.1793580071715155,Benjamini-Hochberg FDR,0.05
PC1,19.86898653473375,Benjamini-Hochberg FDR,0.05
