metric,players_analyzed,nominal_significant,fdr_significant,alpha,correction
PC1,1000,306,180,0.05,Benjamini-Hochberg FDR
PC2,1000,233,71,0.05,Benjamini-Hochberg FDR
DeltaMMR,1000,81,5,0.05,Benjamini-Hochberg FDR
