component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction,win_rate
PC1,0.1859600104001967,0.24959851836954428,0.4910919893070002,0.45541657008407893,0.4720683611581394,0.22596824638738935,0.2668793236880096,0.1765787534633892,0.2796945554033123
PC2,0.14158571614118232,0.23723311001553304,0.15034032445268306,0.010168021157568473,-0.004736405707518517,-0.6123181726741075,-0.042680172085677495,-0.6308297549506927,0.35530913264360325
PC3,0.2837490884181789,-0.6793468657733288,-0.079273183955475,-0.11499370174883611,-0.04876715443152785,-0.023499274314356094,0.5711852356939775,-0.04342497172517083,0.32771595743982657
PC4,-0.846873187488108,0.11584216716298387,-0.10996479010573221,0.12153714706006398,-0.06758218658475554,-0.032660066765220624,0.4360379892613935,-0.049488403541569644,0.21050083461430819
PC5,0.12394555322597324,0.026796275848251228,-0.037661355418115036,0.3651082167524063,-0.005556592477652694,-0.17536633349522612,0.4421732926945794,-0.2470414456693725,-0.7495773132304757
PC6,-0.25645814897848784,-0.5191766443138923,-0.1313954482851476,0.2935226919551538,0.5960963475783984,-0.07021912506631679,-0.3865559589003275,-0.22040245817301604,-0.05477372771130962
PC7,0.09858523492315989,-0.07054925583500768,-0.2522031436033718,0.6457181700953665,-0.3685305257811292,-0.3601252360196992,-0.16346688425497635,0.4183531042753585,0.19364838487816488
PC8,-0.11096114642788803,-0.05135167076142744,0.24944377870717285,-0.3421126641631386,0.29623421115005255,-0.6369135946582039,0.0956191274318999,0.5241292197520545,-0.16887647773458891
PC9,-0.21095002192206747,-0.3586263228233411,0.7571909839818476,0.10509480803712987,-0.4373239691064719,0.036779369977247935,-0.1725252388263192,-0.08486139014823636,-0.11372226848158162
