metric,phase_local_peak,correction,alpha
PC2,5.923320353304845,Benjamini-Hochberg FDR,0.05
PC2,10.50131223622459,Benjamini-Hochberg FDR,0.05
PC2,9.04089708078458,Benjamini-Hochberg FDR,0.05
PC2,19.322503925535507,Benjamini-Hochberg FDR,0.05
PC2,18.17624329037595,Benjamini-Hochberg FDR,0.05
PC2,7.2793473734043985,Benjamini-Hochberg FDR,0.05
PC2,20.14664975936277,Benjamini-Hochberg FDR,0.05
PC2,18.216914593816377,Benjamini-Hochberg FDR,0.05
PC2,3.3342109159423643,Benjamini-Hochberg FDR,0.05
PC2,10.782354203666745,Benjamini-Hochberg FDR,0.05
PC2,7.7207409354570835,Benjamini-Hochberg FDR,0.05
PC2,21.719865852992093,Benjamini-Hochberg FDR,0.05
PC2,2.994083568236057,Benjamini-Hochberg FDR,0.05
PC2,20.88871488493364,Benjamini-Hochberg FDR,0.05
PC2,18.0674437101272,Benjamini-Hochberg FDR,0.05
PC2,21.669351731104904,Benjamini-Hochberg FDR,0.05
PC2,21.3305699042077,Benjamini-Hochberg FDR,0.05
PC2,19.303259645909435,Benjamini-Hochberg FDR,0.05
PC2,11.617505904394896,Benjamini-Hochberg FDR,0.05
PC2,11.796312214997702,Benjamini-Hochberg FDR,0.05
PC2,11.743098772822254,Benjamini-Hochberg FDR,0.05
PC2,9.455413996291638,Benjamini-Hochberg FDR,0.05
PC2,2.569605077835348,Benjamini-Hochberg FDR,0.05
PC2,10.587043851942644,Benjamini-Hochberg FDR,0.05
PC2,12.975097114805177,Benjamini-Hochberg FDR,0.05
PC2,13.644470395249684,Benjamini-Hochberg FDR,0.05
PC2,13.73522016545758,Benjamini-Hochberg FDR,0.05
PC2,0.5166675912267564,Benjamini-Hochberg FDR,0.05
PC2,22.94033624373556,Benjamini-Hochberg FDR,0.05
PC2,6.489478378604279,Benjamini-Hochberg FDR,0.05
PC2,14.128925445287244,Benjamini-Hochberg FDR,0.05
PC2,21.374888099106506,Benjamini-Hochberg FDR,0.05
PC2,18.588467120783115,Benjamini-Hochberg FDR,0.05
PC2,21.700320418193655,Benjamini-Hochberg FDR,0.05
PC2,18.637791090387445,Benjamini-Hochberg FDR,0.05
PC2,7.788814948738825,Benjamini-Hochberg FDR,0.05
PC2,5.190508412376083,Benjamini-Hochberg FDR,0.05
PC2,6.950795677495893,Benjamini-Hochberg FDR,0.05
PC2,14.776716051649423,Benjamini-Hochberg FDR,0.05
PC2,22.81383661420351,Benjamini-Hochberg FDR,0.05
PC2,8.490157999235691,Benjamini-Hochberg FDR,0.05
PC2,7.826209411670224,Benjamini-Hochberg FDR,0.05
PC2,8.420634334776764,Benjamini-Hochberg FDR,0.05
PC2,12.525771171282262,Benjamini-Hochberg FDR,0.05
PC2,19.901238497636463,Benjamini-Hochberg FDR,0.05
PC2,16.938520005581594,Benjamini-Hochberg FDR,0.05
PC2,14.436476508497567,Benjamini-Hochberg FDR,0.05
PC2,10.138723868949413,Benjamini-Hochberg FDR,0.05
PC2,6.6304366923952145,Benjamini-Hochberg FDR,0.05
PC2,5.644876496203352,Benjamini-Hochberg FDR,0.05
PC2,7.346518407176568,Benjamini-Hochberg FDR,0.05
PC2,20.07271700794884,Benjamini-Hochberg FDR,0.05
PC2,21.62509509040025,Benjamini-Hochberg FDR,0.05
PC2,16.91318455498363,Benjamini-Hochberg FDR,0.05
PC2,21.741626732743487,Benjamini-Hochberg FDR,0.05
PC2,20.059549428921347,Benjamini-Hochberg FDR,0.05
PC2,23.925057118113013,Benjamini-Hochberg FDR,0.05
PC2,18.89133221219783,Benjamini-Hochberg FDR,0.05
PC2,20.79110052522278,Benjamini-Hochberg FDR,0.05
PC2,22.13167709961182,Benjamini-Hochberg FDR,0.05
PC2,11.786713734823431,Benjamini-Hochberg FDR,0.05
PC2,6.727922392876234,Benjamini-Hochberg FDR,0.05
PC2,11.28207813121974,Benjamini-Hochberg FDR,0.05
PC2,16.60566674129448,Benjamini-Hochberg FDR,0.05
PC2,17.39157984110815,Benjamini-Hochberg FDR,0.05
PC2,14.560647205267916,Benjamini-Hochberg FDR,0.05
PC2,6.6022039389829565,Benjamini-Hochberg FDR,0.05
PC2,9.702212290446004,Benjamini-Hochberg FDR,0.05
PC2,2.940510199434758,Benjamini-Hochberg FDR,0.05
PC2,6.37913871819536,Benjamini-Hochberg FDR,0.05
PC2,5.261810229557039,Benjamini-Hochberg FDR,0.05
PC2,6.9008466519372895,Benjamini-Hochberg FDR,0.05
PC2,22.681430848024483,Benjamini-Hochberg FDR,0.05
PC2,19.932363401403684,Benjamini-Hochberg FDR,0.05
PC2,0.37210055992125035,Benjamini-Hochberg FDR,0.05
PC2,23.28288958035386,Benjamini-Hochberg FDR,0.05
PC2,15.686948171481335,Benjamini-Hochberg FDR,0.05
PC2,14.754538351707996,Benjamini-Hochberg FDR,0.05
PC2,7.827712721888457,Benjamini-Hochberg FDR,0.05
PC2,9.661819723707096,Benjamini-Hochberg FDR,0.05
PC2,18.919979085887732,Benjamini-Hochberg FDR,0.05
PC2,22.224671910006002,Benjamini-Hochberg FDR,0.05
PC2,8.298362384284196,Benjamini-Hochberg FDR,0.05
PC2,21.492817450734435,Benjamini-Hochberg FDR,0.05
PC2,6.771681303860888,Benjamini-Hochberg FDR,0.05
PC2,14.360002295920271,Benjamini-Hochberg FDR,0.05
PC2,11.14290647839176,Benjamini-Hochberg FDR,0.05
PC2,7.831021729590134,Benjamini-Hochberg FDR,0.05
PC2,8.47089976138038,Benjamini-Hochberg FDR,0.05
PC2,0.5384540925679673,Benjamini-Hochberg FDR,0.05
PC2,8.664120726296197,Benjamini-Hochberg FDR,0.05
PC2,19.852325993868803,Benjamini-Hochberg FDR,0.05
PC2,1.212346356521909,Benjamini-Hochberg FDR,0.05
PC2,19.675635057620518,Benjamini-Hochberg FDR,0.05
PC2,5.9074522001613445,Benjamini-Hochberg FDR,0.05
PC2,22.897044285090484,Benjamini-Hochberg FDR,0.05
PC2,11.459065693324112,Benjamini-Hochberg FDR,0.05
PC2,15.653988143692914,Benjamini-Hochberg FDR,0.05
PC2,21.603544935808337,Benjamini-Hochberg FDR,0.05
PC2,21.53443345684058,Benjamini-Hochberg FDR,0.05
PC2,19.715947271779257,Benjamini-Hochberg FDR,0.05
PC2,18.939114965564023,Benjamini-Hochberg FDR,0.05
PC2,19.65915368120821,Benjamini-Hochberg FDR,0.05
PC2,7.194828750299813,Benjamini-Hochberg FDR,0.05
PC2,0.9747316756515261,Benjamini-Hochberg FDR,0.05
PC2,21.721711475788272,Benjamini-Hochberg FDR,0.05
PC2,8.384481681910806,Benjamini-Hochberg FDR,0.05
PC2,20.374476155945686,Benjamini-Hochberg FDR,0.05
PC2,19.450953342800002,Benjamini-Hochberg FDR,0.05
PC2,7.320647678941398,Benjamini-Hochberg FDR,0.05
PC2,7.533390721648161,Benjamini-Hochberg FDR,0.05
PC2,13.641473084222387,Benjamini-Hochberg FDR,0.05
PC2,18.006499183258025,Benjamini-Hochberg FDR,0.05
PC2,2.692822139470209,Benjamini-Hochberg FDR,0.05
PC2,9.3813247256167,Benjamini-Hochberg FDR,0.05
PC2,2.8625527612898907,Benjamini-Hochberg FDR,0.05
PC2,11.352738025926605,Benjamini-Hochberg FDR,0.05
PC2,18.38438830357638,Benjamini-Hochberg FDR,0.05
PC2,7.171780875369262,Benjamini-Hochberg FDR,0.05
PC2,21.573307566082,Benjamini-Hochberg FDR,0.05
PC2,12.1950087949592,Benjamini-Hochberg FDR,0.05
PC2,15.39449074449903,Benjamini-Hochberg FDR,0.05
PC2,22.09188016659061,Benjamini-Hochberg FDR,0.05
PC2,15.424511105938649,Benjamini-Hochberg FDR,0.05
PC2,8.014401631293921,Benjamini-Hochberg FDR,0.05
PC2,16.220627185725775,Benjamini-Hochberg FDR,0.05
PC2,14.282517377219595,Benjamini-Hochberg FDR,0.05
PC2,8.343615867052776,Benjamini-Hochberg FDR,0.05
PC2,10.183284138986021,Benjamini-Hochberg FDR,0.05
PC2,22.661014770771228,Benjamini-Hochberg FDR,0.05
PC2,16.452674396621177,Benjamini-Hochberg FDR,0.05
PC2,2.138736617714894,Benjamini-Hochberg FDR,0.05
PC2,20.91809947733619,Benjamini-Hochberg FDR,0.05
PC2,18.64360454469203,Benjamini-Hochberg FDR,0.05
PC2,19.21236433885764,Benjamini-Hochberg FDR,0.05
PC2,8.874221880666148,Benjamini-Hochberg FDR,0.05
PC2,21.0792621511212,Benjamini-Hochberg FDR,0.05
PC2,22.707917552086847,Benjamini-Hochberg FDR,0.05
PC2,21.644138288803653,Benjamini-Hochberg FDR,0.05
PC2,20.904562100201968,Benjamini-Hochberg FDR,0.05
PC2,12.01080634363241,Benjamini-Hochberg FDR,0.05
PC2,21.642898880393755,Benjamini-Hochberg FDR,0.05
PC2,9.121110730576131,Benjamini-Hochberg FDR,0.05
PC2,8.51449902737042,Benjamini-Hochberg FDR,0.05
PC2,11.83497982133213,Benjamini-Hochberg FDR,0.05
PC2,19.950046574217456,Benjamini-Hochberg FDR,0.05
PC2,21.907616755691144,Benjamini-Hochberg FDR,0.05
PC2,22.465081259896046,Benjamini-Hochberg FDR,0.05
PC2,18.725487666923748,Benjamini-Hochberg FDR,0.05
PC2,19.225784382904273,Benjamini-Hochberg FDR,0.05
PC2,12.854182370716842,Benjamini-Hochberg FDR,0.05
PC2,19.136456201730343,Benjamini-Hochberg FDR,0.05
PC2,8.233363313477497,Benjamini-Hochberg FDR,0.05
PC2,14.064158219739586,Benjamini-Hochberg FDR,0.05
PC2,10.520050349674934,Benjamini-Hochberg FDR,0.05
PC2,20.149095831013227,Benjamini-Hochberg FDR,0.05
PC2,22.31251308318118,Benjamini-Hochberg FDR,0.05
PC2,9.444517483441762,Benjamini-Hochberg FDR,0.05
PC2,5.808369128563751,Benjamini-Hochberg FDR,0.05
PC2,9.152553408603547,Benjamini-Hochberg FDR,0.05
PC2,19.485078575359076,Benjamini-Hochberg FDR,0.05
PC2,22.456176867752564,Benjamini-Hochberg FDR,0.05
PC2,19.83630433335109,Benjamini-Hochberg FDR,0.05
PC2,21.105707820398145,Benjamini-Hochberg FDR,0.05
PC2,18.40689464408002,Benjamini-Hochberg FDR,0.05
PC2,18.745892240351772,Benjamini-Hochberg FDR,0.05
PC2,8.645423845976623,Benjamini-Hochberg FDR,0.05
PC2,13.919421349642846,Benjamini-Hochberg FDR,0.05
PC2,1.2821462679240696,Benjamini-Hochberg FDR,0.05
PC2,21.049356849013435,Benjamini-Hochberg FDR,0.05
PC2,18.998957204681382,Benjamini-Hochberg FDR,0.05
PC2,21.648477083287872,Benjamini-Hochberg FDR,0.05
PC2,7.4671697523827945,Benjamini-Hochberg FDR,0.05
PC2,8.984531754540228,Benjamini-Hochberg FDR,0.05
PC2,12.561121631375926,Benjamini-Hochberg FDR,0.05
PC2,14.553196098113766,Benjamini-Hochberg FDR,0.05
PC2,11.188541087402125,Benjamini-Hochberg FDR,0.05
PC2,13.101082881028109,Benjamini-Hochberg FDR,0.05
PC2,8.110270008356018,Benjamini-Hochberg FDR,0.05
PC2,12.09476364637842,Benjamini-Hochberg FDR,0.05
PC2,5.465409269264136,Benjamini-Hochberg FDR,0.05
PC2,7.173742266956278,Benjamini-Hochberg FDR,0.05
PC2,8.088537408050868,Benjamini-Hochberg FDR,0.05
PC2,17.947039030301138,Benjamini-Hochberg FDR,0.05
PC2,21.33002815893453,Benjamini-Hochberg FDR,0.05
PC2,18.15671231303321,Benjamini-Hochberg FDR,0.05
PC2,0.19700106776740967,Benjamini-Hochberg FDR,0.05
PC2,22.02290404697156,Benjamini-Hochberg FDR,0.05
PC2,8.09605346144734,Benjamini-Hochberg FDR,0.05
PC2,15.896240617906443,Benjamini-Hochberg FDR,0.05
PC2,5.845977478426004,Benjamini-Hochberg FDR,0.05
PC2,15.718760158136869,Benjamini-Hochberg FDR,0.05
PC2,4.502999419048063,Benjamini-Hochberg FDR,0.05
PC2,20.918487889573683,Benjamini-Hochberg FDR,0.05
PC2,19.552302201031516,Benjamini-Hochberg FDR,0.05
PC2,20.675118364140737,Benjamini-Hochberg FDR,0.05
PC2,12.824427123101568,Benjamini-Hochberg FDR,0.05
PC2,10.89818484132174,Benjamini-Hochberg FDR,0.05
PC2,0.4471476858997967,Benjamini-Hochberg FDR,0.05
PC2,18.438810658284055,Benjamini-Hochberg FDR,0.05
PC2,11.625657834761338,Benjamini-Hochberg FDR,0.05
PC2,16.844107042852045,Benjamini-Hochberg FDR,0.05
PC2,2.5187139676303296,Benjamini-Hochberg FDR,0.05
PC2,19.68253514795336,Benjamini-Hochberg FDR,0.05
PC2,14.808745137185271,Benjamini-Hochberg FDR,0.05
PC2,21.768146093615385,Benjamini-Hochberg FDR,0.05
PC2,12.279532281145904,Benjamini-Hochberg FDR,0.05
PC2,20.600458534534138,Benjamini-Hochberg FDR,0.05
PC2,1.959830942982542,Benjamini-Hochberg FDR,0.05
PC2,14.075089645335197,Benjamini-Hochberg FDR,0.05
PC2,8.038132913188875,Benjamini-Hochberg FDR,0.05
PC2,12.754689947070377,Benjamini-Hochberg FDR,0.05
PC2,9.111846575754432,Benjamini-Hochberg FDR,0.05
PC2,20.31935763258265,Benjamini-Hochberg FDR,0.05
PC2,8.858696090232385,Benjamini-Hochberg FDR,0.05
PC2,9.006264124821387,Benjamini-Hochberg FDR,0.05
PC2,20.657036337815235,Benjamini-Hochberg FDR,0.05
PC2,18.606220750233945,Benjamini-Hochberg FDR,0.05
PC2,4.844911473759293,Benjamini-Hochberg FDR,0.05
PC2,22.17881303099764,Benjamini-Hochberg FDR,0.05
PC2,20.202862769038724,Benjamini-Hochberg FDR,0.05
PC2,11.717605828166139,Benjamini-Hochberg FDR,0.05
PC2,11.968922419604061,Benjamini-Hochberg FDR,0.05
PC2,19.382967289177905,Benjamini-Hochberg FDR,0.05
PC2,20.81465819457162,Benjamini-Hochberg FDR,0.05
PC2,9.254094023170996,Benjamini-Hochberg FDR,0.05
PC2,20.543885871583875,Benjamini-Hochberg FDR,0.05
PC2,19.4762940228328,Benjamini-Hochberg FDR,0.05
PC2,10.786068403427617,Benjamini-Hochberg FDR,0.05
PC2,21.4883342220278,Benjamini-Hochberg FDR,0.05
PC2,20.19095031436956,Benjamini-Hochberg FDR,0.05
PC2,9.963474062169698,Benjamini-Hochberg FDR,0.05
PC2,20.465568026336616,Benjamini-Hochberg FDR,0.05
PC2,12.724910718170069,Benjamini-Hochberg FDR,0.05
PC2,7.995717769721455,Benjamini-Hochberg FDR,0.05
PC2,10.542741536593216,Benjamini-Hochberg FDR,0.05
PC2,10.017706936645972,Benjamini-Hochberg FDR,0.05
PC2,21.017190084464012,Benjamini-Hochberg FDR,0.05
PC2,23.851078543949505,Benjamini-Hochberg FDR,0.05
PC2,7.951919590724405,Benjamini-Hochberg FDR,0.05
PC2,8.916024978434905,Benjamini-Hochberg FDR,0.05
PC2,12.906109070432153,Benjamini-Hochberg FDR,0.05
PC2,8.460709424998925,Benjamini-Hochberg FDR,0.05
PC2,15.413483639484173,Benjamini-Hochberg FDR,0.05
PC2,22.003297048462315,Benjamini-Hochberg FDR,0.05
PC2,10.807832865776192,Benjamini-Hochberg FDR,0.05
PC2,9.523512732243445,Benjamini-Hochberg FDR,0.05
PC2,21.31210608854495,Benjamini-Hochberg FDR,0.05
PC2,7.609638502421419,Benjamini-Hochberg FDR,0.05
PC2,9.856887847086822,Benjamini-Hochberg FDR,0.05
PC2,9.430021484918537,Benjamini-Hochberg FDR,0.05
PC2,20.886782389628742,Benjamini-Hochberg FDR,0.05
PC2,18.11331098027224,Benjamini-Hochberg FDR,0.05
PC2,15.876383859858917,Benjamini-Hochberg FDR,0.05
PC2,19.16983847859143,Benjamini-Hochberg FDR,0.05
PC2,6.513948225159723,Benjamini-Hochberg FDR,0.05
PC2,20.041663424516386,Benjamini-Hochberg FDR,0.05
PC2,0.02896237066070384,Benjamini-Hochberg FDR,0.05
