component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction
PC1,0.04282532678502042,-0.14607350743182984,0.36217439994399897,0.3726766661811147,0.4315251061629804,0.436952581016062,0.36939808368863114,0.4395155387278703
PC2,0.6134901820293277,0.5606045245221873,0.427994856400292,-0.17695615145716653,0.10476282533843154,0.04360434719196808,-0.2857676965227519,0.01787517698899152
PC3,-0.5920778862529714,0.7043660686859359,0.12387576842524223,0.33377808774229917,-0.08061705301089905,-0.11761942647304975,0.046057499065668195,0.0640661228270203
PC4,0.477866858910946,0.03418577754135871,-0.08695556166313662,0.5547423307329233,-0.3079312358377345,-0.3943134475114465,0.43934551400694694,-0.10883498052733263
PC5,-0.07051546775184858,0.12374763578075897,0.21379502422857194,-0.6142303198724273,-0.14121186325634508,-0.05450443089566755,0.7300848253418775,-0.028133924448279335
PC6,-0.04553143190833589,0.03643305277373235,0.03761798233057943,0.09268113498905953,0.6047796976218426,-0.031118134065021244,0.14118991175232337,-0.7745535513394759
PC7,-0.188126272560207,-0.386058208909547,0.7536981135183198,0.05778272268401753,-0.12043497325625849,-0.43653790950954985,-0.18354859228991702,-0.0735381573775762
PC8,0.02111380574161612,0.0374577902102978,-0.21808108563653078,-0.14643850554916527,0.5488954565072383,-0.6658447722879828,0.009358225596550834,0.4294466975026648
