metric,players_analyzed,nominal_significant,fdr_significant,alpha,correction
PC1,1000,302,177,0.05,Benjamini-Hochberg FDR
PC2,1000,361,224,0.05,Benjamini-Hochberg FDR
DeltaMMR,1000,110,2,0.05,Benjamini-Hochberg FDR
