metric,phase_local_peak,correction,alpha
PC1,5.6523015931171425,Benjamini-Hochberg FDR,0.05
PC1,15.440291011010505,Benjamini-Hochberg FDR,0.05
PC1,23.717197023770655,Benjamini-Hochberg FDR,0.05
PC1,18.192965683115673,Benjamini-Hochberg FDR,0.05
PC1,4.801135447473316,Benjamini-Hochberg FDR,0.05
PC1,16.404033075158114,Benjamini-Hochberg FDR,0.05
PC1,21.51781268360884,Benjamini-Hochberg FDR,0.05
PC1,13.172581831449845,Benjamini-Hochberg FDR,0.05
PC1,4.660879935452687,Benjamini-Hochberg FDR,0.05
PC1,0.6498621758897549,Benjamini-Hochberg FDR,0.05
PC1,21.80853569066401,Benjamini-Hochberg FDR,0.05
PC1,4.520292827891465,Benjamini-Hochberg FDR,0.05
PC1,0.44015732403968144,Benjamini-Hochberg FDR,0.05
PC1,18.791941505187808,Benjamini-Hochberg FDR,0.05
PC1,4.663476278769411,Benjamini-Hochberg FDR,0.05
PC1,1.5504479427616118,Benjamini-Hochberg FDR,0.05
PC1,23.280268094878977,Benjamini-Hochberg FDR,0.05
PC1,15.467606425327256,Benjamini-Hochberg FDR,0.05
PC1,5.883985127733075,Benjamini-Hochberg FDR,0.05
PC1,14.979971714660417,Benjamini-Hochberg FDR,0.05
PC1,4.255591917351773,Benjamini-Hochberg FDR,0.05
PC1,22.80146022840239,Benjamini-Hochberg FDR,0.05
PC1,20.519346510396648,Benjamini-Hochberg FDR,0.05
PC1,0.10058735461447199,Benjamini-Hochberg FDR,0.05
PC1,14.042159537694433,Benjamini-Hochberg FDR,0.05
PC1,22.39905112269695,Benjamini-Hochberg FDR,0.05
PC1,14.5890355677346,Benjamini-Hochberg FDR,0.05
PC1,17.419642564110156,Benjamini-Hochberg FDR,0.05
PC1,1.4520561220397763,Benjamini-Hochberg FDR,0.05
PC1,4.366288818157146,Benjamini-Hochberg FDR,0.05
PC1,19.65705876516067,Benjamini-Hochberg FDR,0.05
PC1,10.540664741586156,Benjamini-Hochberg FDR,0.05
PC1,22.398076667151052,Benjamini-Hochberg FDR,0.05
PC1,2.344910623727796,Benjamini-Hochberg FDR,0.05
PC1,17.051620283973488,Benjamini-Hochberg FDR,0.05
PC1,4.26641597291932,Benjamini-Hochberg FDR,0.05
PC1,10.745606574204352,Benjamini-Hochberg FDR,0.05
PC1,0.8279003043589945,Benjamini-Hochberg FDR,0.05
PC1,3.4137179910573954,Benjamini-Hochberg FDR,0.05
PC1,20.285743727101018,Benjamini-Hochberg FDR,0.05
PC1,5.2050681978557565,Benjamini-Hochberg FDR,0.05
PC1,22.367920487440422,Benjamini-Hochberg FDR,0.05
PC1,2.3657703739228833,Benjamini-Hochberg FDR,0.05
PC1,22.361650064494732,Benjamini-Hochberg FDR,0.05
PC1,21.721572467594097,Benjamini-Hochberg FDR,0.05
PC1,2.0101088019256093,Benjamini-Hochberg FDR,0.05
PC1,17.898892830292255,Benjamini-Hochberg FDR,0.05
PC1,3.6323315857011473,Benjamini-Hochberg FDR,0.05
PC1,21.539724077130245,Benjamini-Hochberg FDR,0.05
PC1,21.76429243393259,Benjamini-Hochberg FDR,0.05
PC1,18.57951912442976,Benjamini-Hochberg FDR,0.05
PC1,21.774377512319422,Benjamini-Hochberg FDR,0.05
PC1,3.4750010744818463,Benjamini-Hochberg FDR,0.05
PC1,16.736890458092667,Benjamini-Hochberg FDR,0.05
PC1,1.4632044920233211,Benjamini-Hochberg FDR,0.05
PC1,17.9711476784338,Benjamini-Hochberg FDR,0.05
PC1,16.00972483837358,Benjamini-Hochberg FDR,0.05
PC1,3.2744113089014992,Benjamini-Hochberg FDR,0.05
PC1,17.40128417503508,Benjamini-Hochberg FDR,0.05
PC1,19.011201487511112,Benjamini-Hochberg FDR,0.05
PC1,3.378504320104401,Benjamini-Hochberg FDR,0.05
