component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction,win_rate
PC1,0.2349486013056999,0.30521322842836307,0.3952326020734129,0.3879828093403905,0.3973669098823534,0.3095820900378368,0.33596729173103024,0.2370377657683323,0.3494311302621405
PC2,0.3873728817387832,0.3876584995404577,0.10946893539993963,0.04462269785710482,-0.01912112958636772,-0.49234327062874994,-0.16341702794655122,-0.5960154872985881,0.24694413415397998
PC3,-0.6830946160617531,-0.0694997416358612,-0.10369561859452459,0.18546005072185723,0.04809691356008852,-0.1708023541778812,0.47734873294861707,-0.35678252006277805,0.3110642746022602
PC4,0.5282428085736195,-0.6846075594691643,-0.13009783550044055,-0.06152143812055064,-0.019987288481198462,-0.056609342767544396,0.4156120376514957,-0.11123973604414324,0.20700226194949112
PC5,-0.13510948102059636,-0.10423220797643219,0.06267625036596214,-0.3891942103863362,-0.06850679904346604,0.037528038023897016,-0.36862894203599444,0.22591962491254503,0.7889563487419409
PC6,-0.05115628400364416,-0.3318881417645342,-0.15326181991418739,0.3552874641691289,0.491979838700197,0.3020688355521265,-0.5212603983357746,-0.36325397198531467,0.023650247108971803
PC7,0.006821367529571995,-0.12306452483169049,-0.19765657306698978,0.6174843041099132,-0.11308978954074991,-0.5345511533737263,-0.18375577836466145,0.47133101603360233,0.10000128071712093
PC8,-0.134923128332484,-0.23749848869502702,0.4735053634699088,-0.2845941109641712,0.567201354858898,-0.489466718245117,-0.016462648331441534,0.129335357317189,-0.20468361295529477
PC9,-0.09980163859813737,-0.3008048322892612,0.7165448809449273,0.2632790293938211,-0.5077175355296084,0.10678217370209268,-0.134865750000954,-0.1644290259987598,-0.048974161132172615
