component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction
PC1,0.24458647722430785,0.31605379968168534,0.4171473578395012,0.4089247492681054,0.42135508691112356,0.3470251818097445,0.3536715525254866,0.27569172821750976
PC2,0.46473129881202685,0.4516102162694017,0.16646764937001127,0.08331971434777713,0.02397189927597479,-0.45463964365478715,-0.1655874042078464,-0.5574301152701353
PC3,-0.6731270014829452,0.10767298302251865,-0.02829102621379706,0.2734134793182078,0.10418209473138647,-0.19902231731639403,0.4839031364812717,-0.41847965137563614
PC4,0.48085603608640426,-0.6315517584315704,-0.10696865336945666,0.03765181585446378,0.028938690433111758,-0.09970675234524279,0.5469824958955389,-0.21700498118042535
PC5,-0.04648031950268159,-0.3272873357506,-0.157847994266867,0.3697011096394519,0.49172232452864667,0.30116023600892894,-0.5106850441546336,-0.3685649650705532
PC6,0.04042356669770942,-0.07145721821855872,-0.25745729189342875,0.6844154561256701,-0.15358552021252087,-0.48558936715522766,-0.12604865213081243,0.42810888716532586
PC7,-0.16429407054501288,-0.29727134741275246,0.4808459740104982,-0.2617807653124363,0.49422778138275564,-0.5281384793441302,-0.1237062497785642,0.2154079736053398
PC8,-0.09535597010913482,-0.29174256673657156,0.6808970784395867,0.27574116230095097,-0.5482275310154459,0.13379171776698248,-0.14884365934732363,-0.159785510199219
