component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction,win_rate
PC1,0.3173361933754417,0.3769224633231314,0.3979880680616169,0.38797414143226916,0.38165778245205645,-0.18764880934751496,0.26478254351478725,-0.22225899748553526,0.384610406005462
PC2,-0.04843586551190459,-0.007292899220997531,0.1239417704667051,0.1740607338379315,0.2223207472758425,0.6623295032400954,0.29651476281073397,0.6131052028878332,-0.00402481279667653
PC3,-0.4893376297126217,-0.27718641450103787,-0.19581230356006535,0.0801514832890092,-0.05878099197255382,-0.14794468890280377,0.7405613531915681,-0.20111224991827886,0.1572563714589068
PC4,-0.792508162380559,0.4435954055811855,0.1247050289385539,0.13306465846356574,0.16586490593516323,0.022189294173537377,-0.33469665259362685,-0.042513847246324635,0.00797325974736951
PC5,-0.06371384628215908,-0.286049441676249,-0.02832923982549565,-0.34921600312876383,0.15652501701144872,0.24270654897134122,-0.2529446683248061,-0.0949554689989674,0.796842395864796
PC6,0.038866487820777014,-0.21763369389461132,-0.09377318277974832,0.07567207949605737,0.4628737855000221,0.44377019921748445,-0.05583307083756089,-0.6246721756829727,-0.3634398273360607
PC7,-0.03601757180151027,-0.46930854484358836,-0.2444078085004116,0.5320942746862343,0.36895354082692916,-0.3604652807064922,-0.2930589201930563,0.2874760993023822,0.0316979177565522
PC8,-0.07652183581558768,-0.10701350571848052,0.3031046184545658,-0.5967118518325086,0.5515306499546145,-0.34196457953416654,0.13428691524365324,0.20377006639518036,-0.2325382276781434
PC9,-0.12926054732541462,-0.47262667038141715,0.7817586523498794,0.16787206790440995,-0.30802508827153857,0.03184504450975947,-0.10247628820051469,-0.09514603596365162,-0.07169658273194092
