metric,players_analyzed,nominal_significant,fdr_significant,alpha,correction
PC1,1000,248,106,0.05,Benjamini-Hochberg FDR
PC2,1000,198,55,0.05,Benjamini-Hochberg FDR
DeltaMMR,1000,107,1,0.05,Benjamini-Hochberg FDR
