component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction
PC1,0.34807603643775564,0.41132455870844187,0.4314316734104634,0.4209765208908887,0.4124941146482928,-0.20137345749538654,0.28080579777652354,-0.2382143997114856
PC2,-0.04949546798003967,-0.00842914876303661,0.1228651822412359,0.17303625526765865,0.22135639130893245,0.6627561756790127,0.2961544705872282,0.6135877106278744
PC3,-0.46882601842233446,-0.24763361933515954,-0.17090796342088957,0.11779274710315318,-0.034371394672315994,-0.1662405073709715,0.7732572080269839,-0.22147479081394944
PC4,-0.7925032207873165,0.4447356772978032,0.12536097816594305,0.1353709805320179,0.1666756844346599,0.020960109596641352,-0.33161561800265593,-0.043807728586676156
PC5,0.0013439660092293404,-0.3216714777784118,-0.07136372810995037,-0.11255891400730185,0.50097606263975,0.49381263716782636,-0.14494233376442606,-0.6024343509837541
PC6,-0.03154778387059175,-0.46518045784609374,-0.25114226790603283,0.549753840489717,0.3733187068787104,-0.3496146615458905,-0.28895180477172644,0.26873730882498775
PC7,-0.10604357065483024,-0.1740529834332471,0.34555851642754043,-0.6370037078435502,0.48312321625525234,-0.3504153065113097,0.07599922684958073,0.2670226514637987
PC8,-0.1276392306863567,-0.4706049147085135,0.7525091645085387,0.19991065884317932,-0.3579606996938176,0.057057256317814165,-0.12356252481099952,-0.09667386561042736
