metric,n_servers,total_phases,weighted_peak_hour,weighted_density_peak,kappa,min_phases
PC1,8,1734,22.200000000000003,0.053392531084139154,4.0,20
PC2,7,1466,10.4,0.051951271670228914,4.0,20
