server_dir,platform,target_best_period,target_power_24,win_rate_mean,win_rate_best_period,win_rate_power_24,performance_pc1_explained,performance_pc2_explained,performance_pc3_explained,success_pc1_explained,success_pc2_explained,success_pc3_explained,success_pc1_win_rate_loading,success_pc2_win_rate_loading,success_pc3_win_rate_loading,pc1_player_periodogram_best_period,pc1_player_periodogram_valid_players,pc2_player_periodogram_best_period,pc2_player_periodogram_valid_players,deltammr_player_periodogram_best_period,deltammr_player_periodogram_valid_players,pc1_phase_players,pc1_phase_fdr_significant,pc2_phase_players,pc2_phase_fdr_significant,deltammr_phase_players,deltammr_phase_fdr_significant,pc1_circular_status,pc1_circular_preferred,pc1_circular_n,pc2_circular_status,pc2_circular_preferred,pc2_circular_n,deltammr_circular_status,deltammr_circular_preferred,deltammr_circular_n,server_n_records,server_top_player_games
BR1,BR1,24.0,0.0554711275187449,0.4731057348982264,24.0,0.0027325105510923,0.6267272258801784,0.2082548849849579,0.0849827716045398,0.6507360775819429,0.185118831223543,0.0773585174071323,0.384610406005462,-0.0040248127966765,0.1572563714589068,24.0,1000,24.0,1000,24.0,1000,1000,106,1000,55,1000,1,fit,1-component,106,fit,1-component,55,skipped,,1,18535349.0,1233315.0
EUN1,EUN1,24.0,0.1336102656996196,0.4777355854801767,24.0,0.0015504067711245,0.6202314083689181,0.2055477330256239,0.0892499845227889,0.6322696654589834,0.191609751504931,0.0823998465523704,0.3677774634429405,0.2077406279834905,0.1952087206493601,24.0,1000,24.0,1000,24.0,1000,1000,103,1000,67,1000,5,fit,1-component,103,fit,1-component,67,skipped,,5,23044819.0,1256281.0
EUW1,EUW1,24.0,0.054230999265118,0.4859344428422859,24.0,0.0047026703517495,0.6746969441641224,0.1763440695323868,0.0780697383225985,0.6781288378992422,0.1667933775492312,0.0768778070428682,0.3494311302621405,0.2469441341539799,0.3110642746022602,24.0,1000,24.0,1000,24.0,1000,1000,177,1000,224,1000,2,fit,2-component,177,fit,1-component,224,skipped,,2,47833858.0,1479327.0
JP1,JP1,24.0,0.1296807312667044,0.5065337510335541,8.0,0.0049916734809812,0.5950721388882427,0.2215895952286851,0.0832168830940939,0.529592490291962,0.1981385049471581,0.114047420056277,0.0391151657834885,0.116267296667888,0.966481205544006,8.0,1000,12.0,1000,45.0,1000,1000,712,1000,759,1000,2,fit,2-component,712,fit,2-component,759,skipped,,2,13910881.0,1452567.0
LA1,LA1,24.0,0.0423714860242498,0.4726555913146948,33.0,0.0001401573862968,0.5475588286676996,0.2248299918837537,0.1031451770591631,0.5661767651410236,0.1998685787665114,0.0927380015335025,0.3857321489121188,-0.0096279398448807,0.124687969617673,24.0,1000,24.0,1000,24.0,1000,1000,93,1000,32,1000,4,fit,1-component,93,fit,1-component,32,skipped,,4,6915904.0,972496.0
LA2,LA2,24.0,0.0345950425029492,0.4727907797953165,14.0,9.3553632542094e-05,0.5015419416687392,0.2556203325969374,0.0995052333590302,0.518105588023624,0.2277221748424199,0.091433461969178,0.3888889978393613,-0.0450418948752354,0.251042649787167,24.0,1000,24.0,1000,24.0,1000,1000,94,1000,14,1000,1,fit,1-component,94,skipped,,14,skipped,,1,5235982.0,891022.0
NA1,NA1,24.0,0.0158179555344083,0.4898683746862758,24.0,0.0057286460931021,0.6602504942109177,0.1558271025777027,0.0897000538432792,0.6583630639679935,0.1435860156425665,0.0861838772961847,0.3404203096372472,0.2074405867748407,0.3167261207457543,24.0,1000,24.0,1000,24.0,1000,1000,269,1000,258,1000,6,fit,1-component,269,fit,1-component,258,skipped,,6,27552540.0,1382284.0
OC1,OC1,12.0,0.0147717862933722,0.4896629439197584,24.0,0.0014194843396872,0.4300568440933631,0.2163938889433968,0.1375008215266535,0.4060921411560754,0.2115626616016115,0.1319380427402841,0.2796945554033123,0.3553091326436032,0.3277159574398265,24.0,1000,24.0,1000,24.0,1000,1000,180,1000,71,1000,5,fit,1-component,180,fit,1-component,71,skipped,,5,3908249.0,881364.0
