component,feature,n_servers,weight_col,weight_sum,weighted_mean_loading,weighted_sd_loading,min_loading,max_loading
PC7,damdealt_per_min,8,server_n_records,146937582.0,-0.365010638271155,0.21150583221811864,-0.6370037078435502,0.0577827226840175
PC7,deaths_per_min,8,server_n_records,146937582.0,-0.4543013417851087,0.12978548433490505,-0.6507895834470155,-0.2069870042375128
PC7,enemycreep_per_min,8,server_n_records,146937582.0,-0.24763645548343807,0.07714614714169807,-0.386058208909547,-0.0931012542836579
PC7,gold_per_min,8,server_n_records,146937582.0,0.487500201007479,0.10724451428724319,0.2878969368621596,0.7536981135183198
PC7,kills_per_min,8,server_n_records,146937582.0,0.38372236328520126,0.17880005972200813,-0.1204349732562584,0.4942277813827556
PC7,neutralcreep_per_min,8,server_n_records,146937582.0,-0.14920040173934984,0.025092742235505932,-0.188126272560207,-0.0997964635529676
PC7,timedead_fraction,8,server_n_records,146937582.0,0.22578471087445878,0.13911279289713743,-0.0735381573775762,0.5997303657447329
PC8,assists_per_min,8,server_n_records,146937582.0,-0.1396258057090976,0.05110117243067455,-0.2120683810845318,0.0093582255965508
PC8,damdealt_per_min,8,server_n_records,146937582.0,0.21328273416845306,0.12182277562704176,-0.1464385055491652,0.2764423711539824
PC8,deaths_per_min,8,server_n_records,146937582.0,0.045605927948387005,0.2333597708893269,-0.6658447722879828,0.179954745617589
PC8,enemycreep_per_min,8,server_n_records,146937582.0,-0.29347301402771353,0.124499993409663,-0.4706049147085135,0.0374577902102978
PC8,gold_per_min,8,server_n_records,146937582.0,0.6098857617548618,0.2694070006723124,-0.2180810856365307,0.7525091645085387
PC8,kills_per_min,8,server_n_records,146937582.0,-0.4090950567991502,0.3169452109245884,-0.5688937387234912,0.5488954565072383
PC8,neutralcreep_per_min,8,server_n_records,146937582.0,-0.09917065054411454,0.04544125425309276,-0.1998138646412482,0.0211138057416161
PC8,timedead_fraction,8,server_n_records,146937582.0,-0.08325702784819843,0.16797138063889067,-0.159785510199219,0.4294466975026648
