metric,n_servers,skipped_servers,n_phases,status,preferred,vm1_bic,vm2_bic,delta_bic_1_minus_2,vm1_peak_h,vm1_kappa,component_1_h,component_2_h,component_1_weight,component_2_weight,component_1_kappa,component_2_kappa,min_phases,reason
PC1,8,0,1734,fit,2-component,6324.300431499151,6299.786743485192,24.513688013958927,0.608092335769386,0.27440251154257517,21.377028292152918,7.371169688554625,0.6152681279949677,0.38473187200503234,0.9569149397600619,1.2359256748489513,20,
PC2,7,1,1466,fit,2-component,5358.681825948624,5330.7898731027235,27.89195284590005,13.448418427477346,0.2479600302506465,9.88122983451676,20.0731863563874,0.6392701840249032,0.3607298159750968,0.9158578195082734,1.5151524182280967,20,
DeltaMMR,0,8,0,skipped,,,,,,,,,,,,,20,fewer than 20 pooled phases
