local_hour,n_servers,weight_col,weight_sum,weighted_win_rate_z,weighted_sem_win_rate_z,weighted_win_rate,weighted_sem_win_rate,n_win_records
0,8,n_win_records,7422115.0,-0.3014768497697604,0.10440373620117807,0.4942906435699258,0.0023139681713340247,7422115
1,8,n_win_records,5651730.0,0.14875160429033302,0.3206002452399225,0.49467402016727624,0.0024462854519000155,5651730
2,8,n_win_records,4017163.0,-0.10918038514422634,0.40135955007725443,0.49462219979622435,0.002494744966144449,4017163
3,8,n_win_records,2692311.0,-0.16128153727909345,0.5371874215074989,0.4948674205914547,0.002834734455322203,2692311
4,8,n_win_records,1454988.0,-0.09900727605211443,0.38336101717457527,0.4926013135503523,0.0019787500360176633,1454988
5,8,n_win_records,1038003.0,0.8433903015380542,0.9787858909719969,0.4935534868396334,0.001712762486705517,1038003
6,8,n_win_records,922612.0,1.5398231472841915,0.5903942276368355,0.49443969946196237,0.0013026415060856335,922612
7,8,n_win_records,1182138.0,1.2201743016199271,0.42409884655767793,0.4938890383356258,0.0010885124052260888,1182138
8,8,n_win_records,1847334.0,-0.7670049080396414,0.30149765454979344,0.49164850535961546,0.0010405658594803099,1847334
9,8,n_win_records,2834862.0,-0.17904631456645848,0.22020904154985174,0.4920359439013257,0.0011118559047229857,2834862
10,8,n_win_records,3909798.0,-0.2034080725908186,0.38389209378571426,0.4919382024339876,0.0009654407318667047,3909798
11,8,n_win_records,4779345.0,-0.1799158515004487,0.2969344362600707,0.4919330996192993,0.001130466533657687,4779345
12,8,n_win_records,5713576.0,0.16438418139876732,0.20423492406635962,0.4925055691916936,0.0014680033282274464,5713576
13,8,n_win_records,6806709.0,0.20960974753698206,0.3628389906155983,0.4926445364419134,0.0016936192665830039,6806709
14,8,n_win_records,7849493.0,0.052717500126699506,0.3208685059484134,0.4924697684296298,0.0015474432415568749,7849493
15,8,n_win_records,9030799.0,-0.05433053491982037,0.19515476102931287,0.49320652580131613,0.0020409415783832125,9030799
16,8,n_win_records,9460943.0,-0.2820070846596449,0.3351248729489535,0.4930631122077366,0.0019480143799485738,9460943
17,8,n_win_records,9606342.0,-0.4164715761547027,0.18323597305179432,0.4930635407317374,0.001944185537581774,9606342
18,8,n_win_records,9720047.0,-0.2497851511353481,0.13509561732292028,0.4932203517122911,0.0019007948099323008,9720047
19,8,n_win_records,10225377.0,-0.11101702736880464,0.16127370904896632,0.49347393255035976,0.001864596617400518,10225377
20,8,n_win_records,10777693.0,-0.05537170993534564,0.17788011042075114,0.49400432912683634,0.0021916497015674287,10777693
21,8,n_win_records,10758247.0,0.17508255229819375,0.11586691009216278,0.49445536991296074,0.0023250658851621617,10758247
22,8,n_win_records,10187001.0,0.3657010971284637,0.12145421310137502,0.49495136007152646,0.0024385517650144604,10187001
23,8,n_win_records,9048956.0,0.20570134840339263,0.16194802298955377,0.494794316604037,0.0023882149900290193,9048956
