component,feature,n_servers,weight_col,weight_sum,weighted_mean_loading,weighted_sd_loading,min_loading,max_loading
PC1,assists_per_min,8,server_n_records,146937582.0,0.3257036172257546,0.03370479979204299,0.2571668981971351,0.3695099062860621
PC1,damdealt_per_min,8,server_n_records,146937582.0,0.3928621602284834,0.01411885363700436,0.372495729808556,0.4554165700840789
PC1,deaths_per_min,8,server_n_records,146937582.0,0.20434745801213153,0.20539465856493666,-0.1876488093475149,0.4358294784687525
PC1,enemycreep_per_min,8,server_n_records,146937582.0,0.27961329447880473,0.1423783042718782,-0.1452508383039976,0.3769224633231314
PC1,gold_per_min,8,server_n_records,146937582.0,0.40111311337074473,0.02268988101852944,0.362862669776901,0.4910919893070002
PC1,kills_per_min,8,server_n_records,146937582.0,0.4025590611627512,0.016885487280963916,0.3816577824520564,0.4720683611581394
PC1,neutralcreep_per_min,8,server_n_records,146937582.0,0.21939622541123538,0.0683376187659184,0.0435767094282253,0.3173361933754417
PC1,timedead_fraction,8,server_n_records,146937582.0,0.1425158891208925,0.2073886720769254,-0.2336572089058309,0.4383074746986202
PC1,win_rate,8,server_n_records,146937582.0,0.32693801326294225,0.09529732278007488,0.0391151657834885,0.3888889978393613
PC2,assists_per_min,8,server_n_records,146937582.0,-0.049619297402357224,0.1982877321889348,-0.2793350521071978,0.3227507250880785
PC2,damdealt_per_min,8,server_n_records,146937582.0,0.03765392132726802,0.0978990487814823,-0.1747857037236654,0.2176437683958814
PC2,deaths_per_min,8,server_n_records,146937582.0,-0.21911106367933494,0.48043828104073677,-0.6421892343785124,0.6623295032400954
PC2,enemycreep_per_min,8,server_n_records,146937582.0,0.28011111954164597,0.20392405316160375,-0.1113218155368276,0.5584645665854306
PC2,gold_per_min,8,server_n_records,146937582.0,0.14395190076587966,0.1040069811814545,0.0316517715549022,0.4267655595534887
PC2,kills_per_min,8,server_n_records,146937582.0,0.04445380885879658,0.1045081593490355,-0.0252088404453375,0.2603524953883523
PC2,neutralcreep_per_min,8,server_n_records,146937582.0,0.28659781508165755,0.23094855582984025,-0.1794135114206579,0.6096154363319236
PC2,timedead_fraction,8,server_n_records,146937582.0,-0.2915299442000433,0.4939955613627369,-0.7039288148793403,0.6131052028878332
PC2,win_rate,8,server_n_records,146937582.0,0.16976012443676816,0.10289283701715855,-0.0450418948752354,0.3553091326436032
PC3,assists_per_min,8,server_n_records,146937582.0,0.44614960880517546,0.1555349860011971,0.1328869222887679,0.7405613531915681
PC3,damdealt_per_min,8,server_n_records,146937582.0,0.12428234791333677,0.06448392244346735,-0.1149937017488361,0.1854600507218572
PC3,deaths_per_min,8,server_n_records,146937582.0,-0.13459154283240174,0.09800951021123125,-0.2334188818066346,0.0737227385291713
PC3,enemycreep_per_min,8,server_n_records,146937582.0,-0.07774630710066317,0.15630522114304157,-0.6793468657733288,0.1272373126289895
PC3,gold_per_min,8,server_n_records,146937582.0,-0.09414290239315734,0.05274325397180443,-0.1958123035600653,-0.0052810511134847
PC3,kills_per_min,8,server_n_records,146937582.0,0.023200359331459867,0.050399683128146196,-0.1011178227926561,0.0873719400242108
PC3,neutralcreep_per_min,8,server_n_records,146937582.0,-0.6124557508535792,0.2578646223766394,-0.9125691441108136,0.2837490884181789
PC3,timedead_fraction,8,server_n_records,146937582.0,-0.2818357653260109,0.09765390064751495,-0.3910465680110121,-0.0434249717251708
PC3,win_rate,8,server_n_records,146937582.0,0.32613542149139485,0.21750225416706134,0.124687969617673,0.966481205544006
PC4,assists_per_min,8,server_n_records,146937582.0,0.31015437507436167,0.27773348317932417,-0.3346966525936268,0.6494315185037747
PC4,damdealt_per_min,8,server_n_records,146937582.0,-0.00438029296552732,0.13398369568667354,-0.1738185957358926,0.327173777479793
PC4,deaths_per_min,8,server_n_records,146937582.0,-0.02897448434425211,0.08060371380615954,-0.112396236849124,0.1326894776419943
PC4,enemycreep_per_min,8,server_n_records,146937582.0,-0.38339634919742765,0.5201261352798033,-0.6907046501073344,0.7056644672841483
PC4,gold_per_min,8,server_n_records,146937582.0,-0.07225227321557175,0.1067260799009824,-0.1641807815521854,0.1247050289385539
PC4,kills_per_min,8,server_n_records,146937582.0,-0.011325013641487554,0.07445812381243005,-0.1258554735743899,0.1658649059351632
PC4,neutralcreep_per_min,8,server_n_records,146937582.0,0.16962977092429032,0.5194312190073618,-0.846873187488108,0.6417897937520803
PC4,timedead_fraction,8,server_n_records,146937582.0,-0.09267794738172175,0.0743039396523068,-0.1978960603617741,0.0758944975224395
PC4,win_rate,8,server_n_records,146937582.0,0.18641503153850392,0.11878600333611504,-0.0516183041975714,0.3340493001574619
PC5,assists_per_min,8,server_n_records,146937582.0,0.0320613232674375,0.4113885842958951,-0.4216833935745948,0.5140690493042854
PC5,damdealt_per_min,8,server_n_records,146937582.0,-0.08143857054991997,0.3343826537495831,-0.3891942103863362,0.5736536389402802
PC5,deaths_per_min,8,server_n_records,146937582.0,-0.07497249691291047,0.2632601409879236,-0.574436123781739,0.2427065489713412
PC5,enemycreep_per_min,8,server_n_records,146937582.0,-0.036252655924502344,0.1357923679729221,-0.286049441676249,0.117128716987762
PC5,gold_per_min,8,server_n_records,146937582.0,0.014815210020844682,0.05202381564459525,-0.1081060211563844,0.0626762503659621
PC5,kills_per_min,8,server_n_records,146937582.0,-0.07933422713813007,0.1747364395504028,-0.3623169381283215,0.1565250170114487
PC5,neutralcreep_per_min,8,server_n_records,146937582.0,0.0068497915949482365,0.1861518144244983,-0.1764824445961851,0.4831739493951909
PC5,timedead_fraction,8,server_n_records,146937582.0,0.09634926358107145,0.267638869163757,-0.2587390591221537,0.551192054828039
PC5,win_rate,8,server_n_records,146937582.0,0.24476055867479907,0.6335087218075875,-0.7592357901712177,0.8134973325067054
PC6,assists_per_min,8,server_n_records,146937582.0,-0.2898326904475609,0.36579905505124793,-0.5212603983357746,0.7354722917357859
PC6,damdealt_per_min,8,server_n_records,146937582.0,0.16312772820529198,0.3463383404209429,-0.5980435483204245,0.5842533611025773
PC6,deaths_per_min,8,server_n_records,146937582.0,0.15005717289891723,0.1953622225414885,-0.1092642424598863,0.4437701992174844
PC6,enemycreep_per_min,8,server_n_records,146937582.0,-0.24801060520565676,0.15583571172354874,-0.5191766443138923,0.1331909016251278
PC6,gold_per_min,8,server_n_records,146937582.0,-0.08222819109561248,0.10451563349236558,-0.1557889473160613,0.1962504718652787
PC6,kills_per_min,8,server_n_records,146937582.0,0.3513566885752831,0.2675327448737171,-0.192294280081108,0.6701086809117641
PC6,neutralcreep_per_min,8,server_n_records,146937582.0,-0.058347817374251536,0.05385606449683104,-0.2564581489784878,0.038866487820777
PC6,timedead_fraction,8,server_n_records,146937582.0,-0.2470311059276955,0.2823157930643221,-0.6246721756829727,0.2880404848463603
PC6,win_rate,8,server_n_records,146937582.0,0.05055122892500589,0.3561633738425246,-0.3634398273360607,0.825965270625243
PC7,assists_per_min,8,server_n_records,146937582.0,-0.1309892015535523,0.1608679359200201,-0.2930589201930563,0.2253860187055709
PC7,damdealt_per_min,8,server_n_records,146937582.0,0.5401779393596461,0.15325873322345232,0.0825779536715951,0.6457181700953665
PC7,deaths_per_min,8,server_n_records,146937582.0,-0.4209677955382912,0.1822304159774676,-0.5475671577882236,0.0844032698718629
PC7,enemycreep_per_min,8,server_n_records,146937582.0,-0.1791393542491946,0.20180793772405797,-0.4693085448435883,0.1224702954922171
PC7,gold_per_min,8,server_n_records,146937582.0,-0.18739209770527068,0.0433798860971576,-0.2522031436033718,-0.0831793223528749
PC7,kills_per_min,8,server_n_records,146937582.0,0.05965503130581809,0.3158871155410687,-0.3685305257811292,0.552470048061904
PC7,neutralcreep_per_min,8,server_n_records,146937582.0,0.006836405457543637,0.03729058169877573,-0.0453027756409655,0.0985852349231598
PC7,timedead_fraction,8,server_n_records,146937582.0,0.2789058624392001,0.35834364971997457,-0.7675612771183776,0.4963876856487528
PC7,win_rate,8,server_n_records,146937582.0,0.01904081017628247,0.10051963158633435,-0.1474955289756867,0.1936483848781648
PC8,assists_per_min,8,server_n_records,146937582.0,0.019953061630171427,0.07190322755859181,-0.1283302421286566,0.1342869152436532
PC8,damdealt_per_min,8,server_n_records,146937582.0,-0.3522779095008233,0.1988746825325584,-0.5967118518325086,0.0979391547206079
PC8,deaths_per_min,8,server_n_records,146937582.0,-0.4268193920122825,0.11792453049681574,-0.6369135946582039,-0.2321715874149893
PC8,enemycreep_per_min,8,server_n_records,146937582.0,-0.2059864085288591,0.08205138115403493,-0.3648746438396421,-0.0431412417708979
PC8,gold_per_min,8,server_n_records,146937582.0,0.4701521728036658,0.12456419366173416,0.2494437787071728,0.7797853817925869
PC8,kills_per_min,8,server_n_records,146937582.0,0.45520638782866407,0.19860242106218068,-0.128154088241731,0.567201354858898
PC8,neutralcreep_per_min,8,server_n_records,146937582.0,-0.12485041983803748,0.028190311599391938,-0.1824407862654544,-0.0765218358155876
PC8,timedead_fraction,8,server_n_records,146937582.0,0.14495835295741485,0.16588843573047868,-0.2820448129813238,0.5241292197520545
PC8,win_rate,8,server_n_records,146937582.0,-0.18985189529880167,0.03693341206878112,-0.2325382276781434,-0.0901852925798763
PC9,assists_per_min,8,server_n_records,146937582.0,-0.12485866727289333,0.046409365744277536,-0.1725252388263192,0.0091412667179477
PC9,damdealt_per_min,8,server_n_records,146937582.0,0.19951584681842036,0.114630093835949,-0.1249472447378143,0.2661757093959003
PC9,deaths_per_min,8,server_n_records,146937582.0,0.013482364728777285,0.24468841718927303,-0.7344501788690765,0.1439348262183748
PC9,enemycreep_per_min,8,server_n_records,146937582.0,-0.3061882485379095,0.11053741858416437,-0.4726266703814171,-0.0197337616377281
PC9,gold_per_min,8,server_n_records,146937582.0,0.6540564119038447,0.23841263830120263,-0.0781497215977516,0.7884848256329252
PC9,kills_per_min,8,server_n_records,146937582.0,-0.3702302411278697,0.3115938012916048,-0.5295679773053228,0.5679064760605438
PC9,neutralcreep_per_min,8,server_n_records,146937582.0,-0.10561299266291148,0.039526600144472,-0.2109500219220674,-0.0083228458748105
PC9,timedead_fraction,8,server_n_records,146937582.0,-0.09151326655203726,0.14083440978844847,-0.1644290259987598,0.3340708030037413
PC9,win_rate,8,server_n_records,146937582.0,-0.057375399903617674,0.016642897202695135,-0.1137222684815816,-0.0410473581648015
