metric,platform,phase_local_peak
PC1,EUW1,0.1642106144090256
PC1,EUW1,16.409880923595203
PC1,EUW1,1.327942803424821
PC1,EUW1,4.884447924822403
PC1,EUW1,2.726231133561161
PC1,EUW1,3.4664997084948648
PC1,EUW1,1.9916647362866264
PC1,EUW1,19.711037333807926
PC1,EUW1,15.501454960334042
PC1,EUW1,9.817523719051938
PC1,EUW1,14.083038747172948
PC1,EUW1,20.24237440977096
PC1,EUW1,22.976378161908077
PC1,EUW1,19.93642583611349
PC1,EUW1,16.91742278073498
PC1,EUW1,21.923329574467186
PC1,EUW1,6.895974657326186
PC1,EUW1,22.669153920845304
PC1,EUW1,22.4613700555655
PC1,EUW1,3.7457247940454295
PC1,EUW1,3.9694148901796167
PC1,EUW1,19.0133892209707
PC1,EUW1,19.721028823267517
PC1,EUW1,2.687729550883915
PC1,EUW1,22.552024537110327
PC1,EUW1,1.2579317822713274
PC1,EUW1,14.93518165605566
PC1,EUW1,19.054513082050025
PC1,EUW1,20.437895232134466
PC1,EUW1,4.331472622118935
PC1,EUW1,21.20313779851629
PC1,EUW1,12.4623553152718
PC1,EUW1,7.672703929494611
PC1,EUW1,14.60779191651724
PC1,EUW1,6.31472919692988
PC1,EUW1,12.574121644006352
PC1,EUW1,20.797882998936355
PC1,EUW1,15.764968247522171
PC1,EUW1,17.27979568127739
PC1,EUW1,16.322497733777375
PC1,EUW1,4.110178358063704
PC1,EUW1,4.061661536406831
PC1,EUW1,16.109426724483747
PC1,EUW1,8.680829142648175
PC1,EUW1,10.717191777316616
PC1,EUW1,21.986367218083355
PC1,EUW1,8.155794488279021
PC1,EUW1,0.6214568822912625
PC1,EUW1,21.546447344664017
PC1,EUW1,2.080013937670242
PC1,EUW1,4.252951733651495
PC1,EUW1,21.25922446641879
PC1,EUW1,3.988228183462712
PC1,EUW1,1.0234774594438174
PC1,EUW1,15.021843620087548
PC1,EUW1,4.614099915750393
PC1,EUW1,5.2427183806141935
PC1,EUW1,18.10404144956424
PC1,EUW1,5.455811062452745
PC1,EUW1,2.1543590447243246
PC1,EUW1,4.534559545875267
PC1,EUW1,20.399805739678257
PC1,EUW1,15.15410282857531
PC1,EUW1,3.4691083575384227
PC1,EUW1,9.26124181503648
PC1,EUW1,3.991039202430657
PC1,EUW1,10.549981183716405
PC1,EUW1,5.515836586664664
PC1,EUW1,17.656526393323116
PC1,EUW1,0.4896065099257036
PC1,EUW1,12.03952499862024
PC1,EUW1,20.60642065481852
PC1,EUW1,3.342537246021569
PC1,EUW1,19.90450994769453
PC1,EUW1,1.7129878298982557
PC1,EUW1,0.8430490628392704
PC1,EUW1,22.62371742438793
PC1,EUW1,4.269662255663883
PC1,EUW1,5.181599530757223
PC1,EUW1,19.12765783633633
PC1,EUW1,10.240597146060104
PC1,EUW1,19.952946799765435
PC1,EUW1,2.695908710234092
PC1,EUW1,22.18871053750464
PC1,EUW1,5.24380892046204
PC1,EUW1,19.07248546285957
PC1,EUW1,18.46859568776325
PC1,EUW1,16.69708723655092
PC1,EUW1,4.7610292268362935
PC1,EUW1,0.8431344678740196
PC1,EUW1,2.98821375326164
PC1,EUW1,2.4658352458203883
PC1,EUW1,2.64429106766786
PC1,EUW1,22.761270788657495
PC1,EUW1,12.527335432656592
PC1,EUW1,1.4145210116483866
PC1,EUW1,2.838043005849194
PC1,EUW1,1.3446242945164006
PC1,EUW1,3.6107961507868778
PC1,EUW1,17.685864517746133
PC1,EUW1,5.652301593117143
PC1,EUW1,15.440291011010505
PC1,EUW1,23.71719702377065
PC1,EUW1,18.192965683115677
PC1,EUW1,4.801135447473316
PC1,EUW1,16.404033075158114
PC1,EUW1,21.51781268360884
PC1,EUW1,13.172581831449843
PC1,EUW1,4.660879935452687
PC1,EUW1,0.6498621758897549
PC1,EUW1,21.80853569066401
PC1,EUW1,4.520292827891465
PC1,EUW1,0.4401573240396814
PC1,EUW1,18.791941505187808
PC1,EUW1,4.663476278769411
PC1,EUW1,1.5504479427616118
PC1,EUW1,23.280268094878977
PC1,EUW1,15.467606425327256
PC1,EUW1,5.883985127733075
PC1,EUW1,14.979971714660415
PC1,EUW1,4.255591917351773
PC1,EUW1,22.80146022840239
PC1,EUW1,20.519346510396648
PC1,EUW1,0.1005873546144719
PC1,EUW1,14.042159537694433
PC1,EUW1,22.39905112269695
PC1,EUW1,14.5890355677346
PC1,EUW1,17.419642564110156
PC1,EUW1,1.4520561220397763
PC1,EUW1,4.366288818157146
PC1,EUW1,19.65705876516067
PC1,EUW1,10.540664741586156
PC1,EUW1,22.39807666715105
PC1,EUW1,2.344910623727796
PC1,EUW1,17.051620283973488
PC1,EUW1,4.26641597291932
PC1,EUW1,10.745606574204352
PC1,EUW1,0.8279003043589945
PC1,EUW1,3.413717991057396
PC1,EUW1,20.285743727101018
PC1,EUW1,5.2050681978557565
PC1,EUW1,22.367920487440426
PC1,EUW1,2.3657703739228837
PC1,EUW1,22.36165006449473
PC1,EUW1,21.721572467594097
PC1,EUW1,2.0101088019256093
PC1,EUW1,17.898892830292255
PC1,EUW1,3.6323315857011473
PC1,EUW1,21.539724077130245
PC1,EUW1,21.76429243393259
PC1,EUW1,18.57951912442976
PC1,EUW1,21.774377512319425
PC1,EUW1,3.4750010744818463
PC1,EUW1,16.736890458092667
PC1,EUW1,1.4632044920233211
PC1,EUW1,17.9711476784338
PC1,EUW1,16.00972483837358
PC1,EUW1,3.2744113089014992
PC1,EUW1,17.40128417503508
PC1,EUW1,19.011201487511112
PC1,EUW1,3.378504320104401
PC1,EUW1,19.337471638665352
PC1,EUW1,5.023361877599648
PC1,EUW1,0.930839612535106
PC1,EUW1,2.649343301403822
PC1,EUW1,0.4516860985732975
PC1,EUW1,4.217014599569206
PC1,EUW1,17.7116014735239
PC1,EUW1,14.663622068143464
PC1,EUW1,17.668596138612788
PC1,EUW1,23.04562989521469
PC1,EUW1,5.177872029202395
PC1,EUW1,11.454255476921196
PC1,EUW1,0.6038294664409207
PC1,EUW1,19.543583864035583
PC1,EUW1,1.0158096152749925
PC1,JP1,9.70566054645097
PC1,JP1,20.13786550635739
PC1,JP1,8.875339524099303
PC1,JP1,0.8949747929800971
PC1,JP1,15.837296760204792
PC1,JP1,12.312909887384915
PC1,JP1,15.347076070801878
PC1,JP1,11.679970199402584
PC1,JP1,2.3074314980710966
PC1,JP1,5.218661301434199
PC1,JP1,17.536924468596045
PC1,JP1,9.02901077578392
PC1,JP1,21.1117442946428
PC1,JP1,1.7809460312721512
PC1,JP1,16.516163355517513
PC1,JP1,2.64531696951768
PC1,JP1,5.836451405213239
PC1,JP1,8.959517639074136
PC1,JP1,21.008569424561088
PC1,JP1,18.97179989498188
PC1,JP1,22.53997786078445
PC1,JP1,21.097247529699693
PC1,JP1,23.78302143057676
PC1,JP1,22.04593839348404
PC1,JP1,20.703947957711076
PC1,JP1,5.356059834526903
PC1,JP1,9.075028790355756
PC1,JP1,22.89373264178892
PC1,JP1,1.845699096737821
PC1,JP1,1.6564354483890966
PC1,JP1,7.253225901971323
PC1,JP1,19.11519801978783
PC1,JP1,21.608021400988942
PC1,JP1,23.919933173169547
PC1,JP1,2.594159425796871
PC1,JP1,1.797926152147845
PC1,JP1,7.878771812509537
PC1,JP1,6.723145117498799
PC1,JP1,15.552939766495491
PC1,JP1,9.049216685738932
PC1,JP1,0.0916432528928368
PC1,JP1,4.789719201653146
PC1,JP1,6.936567165301327
PC1,JP1,19.589394422024405
PC1,JP1,22.95708863902793
PC1,JP1,20.08545506332048
PC1,JP1,21.86406846494237
PC1,JP1,7.1724809361435895
PC1,JP1,6.523740105725285
PC1,JP1,19.42203974720316
PC1,JP1,23.4794675105754
PC1,JP1,23.042778364233552
PC1,JP1,11.92788121526047
PC1,JP1,21.58487776245892
PC1,JP1,21.99337560996681
PC1,JP1,7.415061458970698
PC1,JP1,8.195175931831812
PC1,JP1,9.246329630867734
PC1,JP1,7.012242040610985
PC1,JP1,7.092785313769788
PC1,JP1,6.626454556277238
PC1,JP1,6.197831922982566
PC1,JP1,0.414103798108254
PC1,JP1,4.719253033957244
PC1,JP1,23.303489410451817
PC1,JP1,23.48188668760715
PC1,JP1,10.645153396126144
PC1,JP1,23.618408097250764
PC1,JP1,4.173848007371205
PC1,JP1,7.716781963096324
PC1,JP1,16.38454201796465
PC1,JP1,1.5823006162615982
PC1,JP1,9.508179714199162
PC1,JP1,9.72666280188538
PC1,JP1,21.174670861190016
PC1,JP1,5.994016842130787
PC1,JP1,7.08060920126735
PC1,JP1,11.492471934336738
PC1,JP1,16.747804054507068
PC1,JP1,10.652437333800696
PC1,JP1,9.228213771595671
PC1,JP1,9.08101729286494
PC1,JP1,5.996056543961963
PC1,JP1,12.927346955075668
PC1,JP1,20.985209243360377
PC1,JP1,0.9643777134835504
PC1,JP1,16.340661851347445
PC1,JP1,3.4361358703719524
PC1,JP1,7.601691087446671
PC1,JP1,7.814185774191525
PC1,JP1,11.10007151976395
PC1,JP1,7.739816074539572
PC1,JP1,6.839585201705287
PC1,JP1,0.0102413430194836
PC1,JP1,3.651000356393471
PC1,JP1,13.71563959296033
PC1,JP1,1.2765729836313184
PC1,JP1,7.172250035224117
PC1,JP1,20.37012140247748
PC1,JP1,18.76804147180981
PC1,JP1,4.289102693019068
PC1,JP1,8.647106270867909
PC1,JP1,9.03518483753638
PC1,JP1,7.677386358877975
PC1,JP1,16.81946622299125
PC1,JP1,19.695857287794222
PC1,JP1,19.219504419766903
PC1,JP1,16.152504103829607
PC1,JP1,23.87607192985558
PC1,JP1,13.020969604592388
PC1,JP1,19.52861115445061
PC1,JP1,11.414297154924832
PC1,JP1,17.79637871465302
PC1,JP1,6.861860880943613
PC1,JP1,17.23283525859803
PC1,JP1,9.793998674273094
PC1,JP1,15.118545788288904
PC1,JP1,21.741480243108484
PC1,JP1,20.18757219434084
PC1,JP1,23.63849360557395
PC1,JP1,5.119767898243978
PC1,JP1,7.385319700461967
PC1,JP1,9.282554331293412
PC1,JP1,22.25499357079259
PC1,JP1,21.54470801134366
PC1,JP1,6.083600474212297
PC1,JP1,2.266977211599265
PC1,JP1,20.952892521175208
PC1,JP1,9.340128528640308
PC1,JP1,9.185066165595778
PC1,JP1,1.6742311847796358
PC1,JP1,9.222436965010465
PC1,JP1,1.854446825556451
PC1,JP1,22.991738332125177
PC1,JP1,23.091997666149275
PC1,JP1,9.091735482322438
PC1,JP1,6.3068263193284615
PC1,JP1,22.632032625860496
PC1,JP1,7.972603994595726
PC1,JP1,11.654527851927336
PC1,JP1,23.13160412475827
PC1,JP1,15.307383815146522
PC1,JP1,10.95314966775437
PC1,JP1,1.9603614823123685
PC1,JP1,23.19916447466033
PC1,JP1,11.816169038745842
PC1,JP1,8.01786926630922
PC1,JP1,6.341430983353781
PC1,JP1,14.414953859793908
PC1,JP1,8.738046268084759
PC1,JP1,21.96040963573957
PC1,JP1,6.849612164494815
PC1,JP1,12.45550470168954
PC1,JP1,17.383016524238908
PC1,JP1,23.25943044800597
PC1,JP1,4.949304849729359
PC1,JP1,23.655706150707918
PC1,JP1,21.12451678365654
PC1,JP1,20.99322946610092
PC1,JP1,5.526259062896639
PC1,JP1,11.672112349878637
PC1,JP1,20.630875606511083
PC1,JP1,0.1273588735662123
PC1,JP1,7.6662337974929
PC1,JP1,1.8386405573175888
PC1,JP1,19.812211393953667
PC1,JP1,2.8199229021756693
PC1,JP1,0.2965442508381883
PC1,JP1,9.709533775357448
PC1,JP1,4.700464239653549
PC1,JP1,5.447746896916325
PC1,JP1,3.040182652312509
PC1,JP1,5.463162909841941
PC1,JP1,23.04366005297775
PC1,JP1,3.55181384212516
PC1,JP1,14.154053045692567
PC1,JP1,20.822321734957725
PC1,JP1,20.69486655410204
PC1,JP1,22.827387096735443
PC1,JP1,7.679104425917057
PC1,JP1,23.950653050302236
PC1,JP1,15.381041066569658
PC1,JP1,18.94855327866867
PC1,JP1,21.584825393911657
PC1,JP1,2.703559992874151
PC1,JP1,0.4968613445777556
PC1,JP1,20.86227879807038
