metric,local_hour,n_servers,weight_col,weight_sum,total_phases,weighted_density,weighted_sd_density,weighted_sem_density,kappa,min_phases
PC1,8.700000000000001,8,n_phases,1734.0,1734,0.04213213160425072,0.016089790263859444,0.007664950296177409,4.0,20
PC1,8.8,8,n_phases,1734.0,1734,0.04179747827716723,0.016036254364739353,0.007639446545097547,4.0,20
PC1,8.9,8,n_phases,1734.0,1734,0.041449109755685644,0.015950987945661025,0.0075988268195790335,4.0,20
PC1,9.0,8,n_phases,1734.0,1734,0.041087822498647085,0.015834684798715828,0.007543421632438321,4.0,20
PC1,9.1,8,n_phases,1734.0,1734,0.040714477734190464,0.015688151956910194,0.007473615442874704,4.0,20
PC1,9.200000000000001,8,n_phases,1734.0,1734,0.040329997199615275,0.015512306587827894,0.007389845176654621,4.0,20
PC1,9.3,8,n_phases,1734.0,1734,0.03993535846957564,0.01530817249343943,0.007292598558669966,4.0,20
PC1,9.4,8,n_phases,1734.0,1734,0.03953158990292866,0.015076876133651454,0.00718241221861283,4.0,20
PC1,9.5,8,n_phases,1734.0,1734,0.03911976524596089,0.014819642110810405,0.007059869539856404,4.0,20
PC1,9.600000000000001,8,n_phases,1734.0,1734,0.038700997936726204,0.014537788075725845,0.006925598232755973,4.0,20
PC1,9.700000000000001,8,n_phases,1734.0,1734,0.03827643516144681,0.014232719042524314,0.006780267626325076,4.0,20
PC1,9.8,8,n_phases,1734.0,1734,0.03784725171899351,0.013905921129343246,0.006624585686389923,4.0,20
PC1,9.9,8,n_phases,1734.0,1734,0.03741464375307542,0.013558954774032494,0.0064592957836448,4.0,20
PC1,10.0,8,n_phases,1734.0,1734,0.03697982241371843,0.013193447508149589,0.006285173251284819,4.0,20
PC1,10.100000000000001,8,n_phases,1734.0,1734,0.036544007509779555,0.012811086408178992,0.006103021788872696,4.0,20
PC1,10.200000000000001,8,n_phases,1734.0,1734,0.03610842121262511,0.012413610379770321,0.005913669786658114,4.0,20
PC1,10.3,8,n_phases,1734.0,1734,0.035674281867790904,0.01200280246878143,0.0057179666626665515,4.0,20
PC1,10.4,8,n_phases,1734.0,1734,0.03524279796664435,0.011580482432216137,0.00551677932359826,4.0,20
PC1,10.5,8,n_phases,1734.0,1734,0.03481516232406922,0.011148499843309652,0.005310988880187719,4.0,20
PC1,10.600000000000001,8,n_phases,1734.0,1734,0.034392546501350714,0.010708728048985077,0.005101487768620707,4.0,20
PC1,10.700000000000001,8,n_phases,1734.0,1734,0.033976095506155254,0.010263059346044523,0.004889177452539446,4.0,20
PC1,10.8,8,n_phases,1734.0,1734,0.03356692279419658,0.00981340179645463,0.0046749669058893046,4.0,20
PC1,10.9,8,n_phases,1734.0,1734,0.03316610559027208,0.009361678163692648,0.004459772106209003,4.0,20
PC1,11.0,8,n_phases,1734.0,1734,0.03277468054021779,0.008909827522557777,0.004244516801522147,4.0,20
PC1,11.100000000000001,8,n_phases,1734.0,1734,0.03239363970028501,0.008459810173604441,0.004030134851504269,4.0,20
PC1,11.200000000000001,8,n_phases,1734.0,1734,0.03202392686672336,0.008013616575823848,0.003817574482886981,4.0,20
PC1,11.3,8,n_phases,1734.0,1734,0.031666434246102715,0.007573281084397777,0.0036078048339310913,4.0,20
PC1,11.4,8,n_phases,1734.0,1734,0.03132199946615691,0.007140901315177533,0.003401825179392645,4.0,20
PC1,11.5,8,n_phases,1734.0,1734,0.030991402927606913,0.0067186638955279415,0.0032006771978636424,4.0,20
PC1,11.600000000000001,8,n_phases,1734.0,1734,0.030675365499345034,0.0063088770928482795,0.0030054605155415423,4.0,20
PC1,11.700000000000001,8,n_phases,1734.0,1734,0.030374546562259,0.005914010144553964,0.0028173514424806242,4.0,20
PC1,11.8,8,n_phases,1734.0,1734,0.03008954241049797,0.005536737728988069,0.0026376241579101835,4.0,20
PC1,11.9,8,n_phases,1734.0,1734,0.02982088502272458,0.0051799854400453715,0.0024676723737072875,4.0,20
PC1,12.0,8,n_phases,1734.0,1734,0.029569041219424736,0.0048469677558546295,0.0023090274221442045,4.0,20
PC1,12.100000000000001,8,n_phases,1734.0,1734,0.029334412225220163,0.004541203319868629,0.002163365535585266,4.0,20
PC1,12.200000000000001,8,n_phases,1734.0,1734,0.029117333656935758,0.004266483643863871,0.002032492937035101,4.0,20
PC1,12.3,8,n_phases,1734.0,1734,0.028918075958551757,0.00402676298771151,0.0019182933804068136,4.0,20
PC1,12.4,8,n_phases,1734.0,1734,0.028736845302833568,0.0038259355132554632,0.0018226219897566785,4.0,20
PC1,12.5,8,n_phases,1734.0,1734,0.02857378497618721,0.0036674815765382275,0.0017471367578640459,4.0,20
PC1,12.600000000000001,8,n_phases,1734.0,1734,0.028428977258054645,0.003554008142033274,0.0016930796060209503,4.0,20
PC1,12.700000000000001,8,n_phases,1734.0,1734,0.028302445798974507,0.0034867740007585575,0.0016610502046039265,4.0,20
PC1,12.8,8,n_phases,1734.0,1734,0.028194158492447424,0.0034653453356828707,0.0016508418892669948,4.0,20
PC1,12.9,8,n_phases,1734.0,1734,0.028104030825228776,0.0034875201577200354,0.0016614056633096701,4.0,20
