component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction
PC1,0.19537982981541896,0.29186813230887465,0.41380399762899417,0.41069129100789126,0.4222952157583066,0.37023711981151974,0.3479401750373732,0.31665042386935094
PC2,0.5538746193603611,0.4835225625200764,0.2335795648441213,0.027317665080243303,0.006445760118882621,-0.389146462416891,-0.20121155851043449,-0.4606089027699538
PC3,-0.7205919209976457,0.3666671074053864,0.043733579179345256,0.20987571846901473,0.07063432623407326,-0.22525861040884104,0.30535762535555405,-0.3890605911943824
PC4,0.2918416253186838,-0.5469208948839851,-0.04093874452244528,0.11124764399338416,0.06980089727001712,-0.17002182961947818,0.6521364582283969,-0.37761413296639923
PC5,-0.07090602138658718,-0.32970120743445563,-0.14095271879036034,0.5450628553248693,0.47984881226137416,0.004516249536556348,-0.5327914077554342,-0.23487507624596465
PC6,0.08166821736757744,0.05222789583823393,-0.2328906402790899,0.5704793399202437,-0.35858671980696394,-0.5110687689388065,0.06974099621479389,0.46505730055907457
PC7,-0.16033756191991633,-0.25171706174582625,0.510104498879921,-0.2859327889880585,0.3595614348237759,-0.5815885557907909,-0.06857159187959887,0.31102168833595434
PC8,-0.11497774521484354,-0.2695543980376448,0.6605345658185119,0.2643195032884352,-0.5688937387234912,0.179954745617589,-0.16276900767453253,-0.1594750320763202
