period_h,freq_per_h,n,amp,lag_h,lag_h_mod_period,p_joint,f_joint,r2,a_cos,b_sin,c_const,significant
12.0,0.08333333333333333,6808,8.794598255602148,3.8858968863674317,3.8858968863674317,4.58510528930103e-24,54.16585206784633,0.015669970539802902,-3.93469145042023,7.865313831464723,1976.6268931368895,True
24.0,0.041666666666666664,6808,8.826241667187727,6.861907054934542,6.861907054934542,2.749007495223218e-24,54.6856082251007,0.015817955534408457,-1.9747546527612627,8.602493012435321,1976.6462401918654,True
36.0,0.027777777777777776,6808,0.19523670986186595,1.7272060213326352,1.7272060213326352,0.9741172590250639,0.02622369449792096,7.707124875855342e-06,0.18643264675273397,0.0579675866537217,1976.637605053117,False
48.0,0.020833333333333332,6808,1.2350566624513886,12.166170705075249,12.166170705075249,0.3505713623607344,1.0483524636651373,0.0003080175026475285,-0.026862456740905927,1.2347644989565445,1976.632949743141,False
168.0,0.005952380952380952,6808,5.136597657027271,-27.367568513385823,140.63243148661417,1.1422741431628284e-08,18.33689376884329,0.005360353135294371,2.672788673339146,-4.3864377572066395,1976.6463520905052,True
