component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction,win_rate
PC1,0.1867448691000824,0.27934390781584073,0.3944824970567189,0.389251265201244,0.39967026664516614,0.33668660733819933,0.3332186418846623,0.2827463580172022,0.3404203096372472
PC2,0.4865728004917779,0.43928002470085126,0.19472437903059203,0.003999088133563422,-0.022283511862736055,-0.4358840833110287,-0.1841979106770259,-0.5146789648912736,0.20744058677484073
PC3,-0.7164250763941538,0.12723731262898955,-0.03893552764902568,0.15074042869765814,0.031691125362918966,-0.23341888180663467,0.3709252866883687,-0.3910465680110121,0.3167261207457543
PC4,0.3935099545662129,-0.6907046501073344,-0.1040440213457054,-0.029949035940316282,-0.0003324953522312879,-0.09799266473599415,0.4427193697007628,-0.19789606036177412,0.3340493001574619
PC5,0.14420559702403574,0.10869091737289831,-0.0019683598070492953,0.2431103737828794,0.02503073094140735,-0.0024680457845808394,0.5140690493042854,-0.2587390591221537,-0.7592357901712177
PC6,-0.051830139039876995,-0.3095715997645722,-0.15578894731606138,0.5842533611025773,0.47611339745160597,0.013815727147006344,-0.48187476965525966,-0.2628362738423947,-0.08772589819221113
PC7,0.06508516934430673,0.031129979923154548,-0.19658518527878469,0.5347655242143996,-0.34601812957740563,-0.5475671577882236,0.048809467322805264,0.4963876856487528,0.042819473063435504
PC8,-0.1337429781502104,-0.21785986832666748,0.4899530929547793,-0.2716631916177077,0.4596535562475808,-0.5584051088375661,0.011257001801861786,0.23861663926818408,-0.2015755258462047
PC9,-0.12105126293555409,-0.2822366115204844,0.7008216628520606,0.25420098124690943,-0.5295679773053228,0.14393482621837483,-0.14990361075319744,-0.15398814403847352,-0.05076442713651818
