component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction,win_rate
PC1,0.24593237851128266,0.36627656912285944,0.4500287317631421,0.410629131728701,0.4033180319069053,-0.13261198531093163,0.2571668981971351,-0.19130017563127466,0.3888889978393613
PC2,-0.1794135114206579,-0.11132181553682763,0.06019556130646686,0.21764376839588145,0.24345640016256648,0.6325758495038419,0.32275072508807856,0.582070358967263,-0.045041894875235466
PC3,-0.6342807927127536,-0.1708110139680292,-0.1506275747013433,-0.005629889833663358,-0.10111782279265612,-0.20609481092226856,0.6025315387771667,-0.25889101794807845,0.251042649787167
PC4,0.6417897937520803,-0.5939431855921377,-0.0551819980625865,-0.17381859573589264,-0.07760818462227814,0.008910342541484345,0.38137575286042547,-0.01641477551148718,0.2241875588453282
PC5,-0.17648244459618515,-0.07487332406317854,0.022013225044540036,-0.31842050831849106,0.0812166841533759,0.1691904065990038,-0.4139970647037753,0.12168669242728113,0.7999681029460974
PC6,-0.13382314713051632,-0.46689992250595347,-0.0698086066179105,0.08366177174037102,0.6701086809117641,0.11560812278750032,-0.24661110946112252,-0.43859316422275874,-0.19139333516873958
PC7,-0.04530277564096554,-0.3143141142576785,-0.19474493388032177,0.5630746426881832,0.015698356825124285,-0.5345672812078431,-0.22073908959681632,0.441599805625357,0.12012869364902044
PC8,-0.10067341197222973,-0.04314124177089799,0.37964846900689253,-0.5498280475960069,0.3748444227452791,-0.4528499603604723,0.12267126041091116,0.3795224470300934,-0.19207524995580566
PC9,-0.1785486724491896,-0.38372898852913023,0.7620371007306302,0.16129308429325,-0.40671750425019426,0.08295477205731588,-0.15881071480201572,-0.10528554051242511,-0.0744978009793506
