local_hour,win_rate,n_win_records
0,0.48950589498346275,357677
1,0.48789760088474443,318284
2,0.48701687350617745,252289
3,0.48559378418304633,177354
4,0.48449638028494924,121004
5,0.4884865355221136,80471
6,0.49270437737357586,10006
7,0.6,20
8,0.49375874615169324,35730
9,0.48865683592446785,59948
10,0.49037246386801775,87042
11,0.48840563724450403,117859
12,0.48889467945772846,145831
13,0.48957793217878254,183217
14,0.4864860328397165,238309
15,0.486514392554661,286676
16,0.48767987755153247,318828
17,0.48770905959805544,334474
18,0.4889862284855921,348836
19,0.4903236635242118,357470
20,0.48923643373828773,345471
21,0.4899445454682076,332705
22,0.48970586579916026,355348
23,0.489713930046641,371133
