metric,phase_local_peak,correction,alpha
PC2,1.9979113443752876,Benjamini-Hochberg FDR,0.05
PC2,2.4673842744978263,Benjamini-Hochberg FDR,0.05
PC2,13.257594415659984,Benjamini-Hochberg FDR,0.05
PC2,23.523986389708078,Benjamini-Hochberg FDR,0.05
PC2,21.945464878115217,Benjamini-Hochberg FDR,0.05
PC2,2.9403057452996606,Benjamini-Hochberg FDR,0.05
PC2,21.394931979026516,Benjamini-Hochberg FDR,0.05
PC2,0.4328999563161573,Benjamini-Hochberg FDR,0.05
PC2,3.176508801195925,Benjamini-Hochberg FDR,0.05
PC2,3.8428815488501273,Benjamini-Hochberg FDR,0.05
PC2,22.083848423444184,Benjamini-Hochberg FDR,0.05
PC2,22.219139982158165,Benjamini-Hochberg FDR,0.05
PC2,21.98021775641445,Benjamini-Hochberg FDR,0.05
PC2,0.5944426395239311,Benjamini-Hochberg FDR,0.05
