metric,phase_local_peak,correction,alpha
PC1,5.833594038292469,Benjamini-Hochberg FDR,0.05
PC1,4.888353877716409,Benjamini-Hochberg FDR,0.05
PC1,1.1681457125171102,Benjamini-Hochberg FDR,0.05
PC1,8.186936978336647,Benjamini-Hochberg FDR,0.05
PC1,7.165572513836166,Benjamini-Hochberg FDR,0.05
PC1,19.97651511420259,Benjamini-Hochberg FDR,0.05
PC1,8.611393026191621,Benjamini-Hochberg FDR,0.05
PC1,3.2934443824823294,Benjamini-Hochberg FDR,0.05
PC1,3.8187436407370496,Benjamini-Hochberg FDR,0.05
PC1,10.80047086084154,Benjamini-Hochberg FDR,0.05
PC1,10.917443684540409,Benjamini-Hochberg FDR,0.05
PC1,23.311187114032684,Benjamini-Hochberg FDR,0.05
PC1,21.749225658489696,Benjamini-Hochberg FDR,0.05
PC1,0.8710530789566868,Benjamini-Hochberg FDR,0.05
PC1,11.020344319073752,Benjamini-Hochberg FDR,0.05
PC1,2.491788480233053,Benjamini-Hochberg FDR,0.05
PC1,0.8309242586390462,Benjamini-Hochberg FDR,0.05
PC1,23.737711030878273,Benjamini-Hochberg FDR,0.05
PC1,7.466635019680723,Benjamini-Hochberg FDR,0.05
PC1,18.707331394866415,Benjamini-Hochberg FDR,0.05
PC1,2.5102899040171582,Benjamini-Hochberg FDR,0.05
PC1,16.732997150946378,Benjamini-Hochberg FDR,0.05
PC1,13.915047888767951,Benjamini-Hochberg FDR,0.05
PC1,4.316093302738987,Benjamini-Hochberg FDR,0.05
PC1,20.11071138497858,Benjamini-Hochberg FDR,0.05
PC1,14.55796536333261,Benjamini-Hochberg FDR,0.05
PC1,5.852546182783378,Benjamini-Hochberg FDR,0.05
PC1,6.49309480155314,Benjamini-Hochberg FDR,0.05
PC1,10.808383991342154,Benjamini-Hochberg FDR,0.05
PC1,5.178230762300085,Benjamini-Hochberg FDR,0.05
PC1,21.514674895935972,Benjamini-Hochberg FDR,0.05
PC1,9.215108533152751,Benjamini-Hochberg FDR,0.05
PC1,4.8972754275060755,Benjamini-Hochberg FDR,0.05
PC1,9.020878617347316,Benjamini-Hochberg FDR,0.05
PC1,13.794101012675664,Benjamini-Hochberg FDR,0.05
PC1,22.422635286306004,Benjamini-Hochberg FDR,0.05
PC1,16.210885424274085,Benjamini-Hochberg FDR,0.05
PC1,23.575832230841666,Benjamini-Hochberg FDR,0.05
PC1,20.6835446084922,Benjamini-Hochberg FDR,0.05
PC1,3.167639856277768,Benjamini-Hochberg FDR,0.05
PC1,7.983264913521712,Benjamini-Hochberg FDR,0.05
PC1,8.204032535997026,Benjamini-Hochberg FDR,0.05
PC1,16.97105071305955,Benjamini-Hochberg FDR,0.05
PC1,8.570665588138612,Benjamini-Hochberg FDR,0.05
PC1,20.20861151745293,Benjamini-Hochberg FDR,0.05
PC1,22.127701308130753,Benjamini-Hochberg FDR,0.05
PC1,19.670438806395644,Benjamini-Hochberg FDR,0.05
PC1,4.142067094904099,Benjamini-Hochberg FDR,0.05
PC1,0.2491329185771476,Benjamini-Hochberg FDR,0.05
PC1,17.725905481872033,Benjamini-Hochberg FDR,0.05
