component,neutralcreep_per_min,enemycreep_per_min,gold_per_min,damdealt_per_min,kills_per_min,deaths_per_min,assists_per_min,timedead_fraction
PC1,0.2733713274106632,0.3881991878484259,0.44063029086375294,0.4341411780627983,0.43527656006962295,0.2271254270644712,0.37208621272202674,0.11151725931011817
PC2,0.22492803212319915,0.20106231674978295,0.08740040563528535,0.04499265747458228,0.02136163440802516,-0.6352878098564343,0.04231573583696481,-0.7024817526031311
PC3,-0.820814412753181,-0.052516770879144026,-0.058359426893456016,0.1698055424617672,0.12515869481476652,0.04107181685672731,0.4415526290001629,-0.280972643562332
PC4,0.411883036418825,-0.6567102970482145,-0.13473863855287566,-0.05282273114851482,-0.006898830227423547,0.12595052679515684,0.5814684493827381,-0.15531426763221978
PC5,-0.04421762346649586,0.11394672554635846,0.04431065366061841,0.024360229621575837,-0.36538385141808183,-0.5779422088010613,0.44394568509944354,0.5638206840723531
PC6,-0.04603717387323282,-0.45932126965077263,-0.11655008742808677,0.5579459730956928,0.41660483275182303,-0.37715648327467816,-0.3198689702325491,0.20950933255835005
PC7,-0.1360286930396438,-0.22164125585499936,0.517077935922821,-0.6241437501543583,0.46748743567843,-0.20698700423751282,-0.00888460863943609,0.11823399251866847
PC8,-0.09334418518923773,-0.3190049820159381,0.702658411830504,0.2764423711539824,-0.5184170676363306,0.09036138652939253,-0.16493659779294395,-0.12348254439915494
