platform,target_best_period,target_power_24,win_rate_mean,win_rate_best_period,win_rate_power_24,performance_pc1_explained,performance_pc2_explained,performance_pc3_explained,success_pc1_explained,success_pc2_explained,success_pc3_explained,success_pc1_win_rate_loading,success_pc2_win_rate_loading,success_pc3_win_rate_loading,pc1_player_periodogram_best_period,pc1_player_periodogram_valid_players,pc2_player_periodogram_best_period,pc2_player_periodogram_valid_players,deltammr_player_periodogram_best_period,deltammr_player_periodogram_valid_players,pc1_phase_players,pc1_phase_fdr_significant,pc2_phase_players,pc2_phase_fdr_significant,deltammr_phase_players,deltammr_phase_fdr_significant,pc1_circular_status,pc1_circular_preferred,pc1_circular_n,pc2_circular_status,pc2_circular_preferred,pc2_circular_n,deltammr_circular_status,deltammr_circular_preferred,deltammr_circular_n,status,elapsed_seconds
BR1,24.0,0.055471127518744945,0.47310573489822644,24.0,0.002732510551092349,0.6267272258801784,0.20825488498495795,0.08498277160453982,0.6507360775819429,0.18511883122354306,0.07735851740713237,0.384610406005462,-0.00402481279667653,0.1572563714589068,24.0,1000,24.0,1000,24.0,1000,1000,106,1000,55,1000,1,fit,1-component,106,fit,1-component,55,skipped,,1,ok,482.54
EUN1,24.0,0.13361026569961962,0.4777355854801767,24.0,0.0015504067711245213,0.6202314083689181,0.20554773302562393,0.0892499845227889,0.6322696654589834,0.19160975150493104,0.08239984655237047,0.3677774634429405,0.20774062798349055,0.19520872064936015,24.0,1000,24.0,1000,24.0,1000,1000,103,1000,67,1000,5,fit,1-component,103,fit,1-component,67,skipped,,5,ok,500.15
EUW1,24.0,0.05423099926511804,0.4859344428422859,24.0,0.004702670351749553,0.6746969441641224,0.17634406953238685,0.07806973832259857,0.6781288378992422,0.16679337754923126,0.07687780704286824,0.3494311302621405,0.24694413415397998,0.3110642746022602,24.0,1000,24.0,1000,24.0,1000,1000,177,1000,224,1000,2,fit,2-component,177,fit,1-component,224,skipped,,2,ok,205.66
JP1,24.0,0.12968073126670443,0.5065337510335541,8.0,0.004991673480981267,0.5950721388882427,0.22158959522868515,0.08321688309409392,0.529592490291962,0.19813850494715812,0.114047420056277,0.039115165783488524,0.11626729666788803,0.9664812055440059,8.0,1000,12.0,1000,45.0,1000,1000,712,1000,759,1000,2,fit,2-component,712,fit,2-component,759,skipped,,2,ok,587.49
LA1,24.0,0.042371486024249894,0.4726555913146948,33.0,0.0001401573862968305,0.5475588286676996,0.2248299918837537,0.1031451770591631,0.5661767651410236,0.19986857876651143,0.09273800153350258,0.3857321489121188,-0.009627939844880744,0.12468796961767306,24.0,1000,24.0,1000,24.0,1000,1000,93,1000,32,1000,4,fit,1-component,93,fit,1-component,32,skipped,,4,ok,547.56
LA2,24.0,0.03459504250294929,0.47279077979531653,14.0,9.355363254209401e-05,0.5015419416687392,0.25562033259693745,0.0995052333590302,0.518105588023624,0.2277221748424199,0.09143346196917808,0.3888889978393613,-0.045041894875235466,0.251042649787167,24.0,1000,24.0,1000,24.0,1000,1000,94,1000,14,1000,1,fit,1-component,94,skipped,,14,skipped,,1,ok,120.62
NA1,24.0,0.015817955534408353,0.4898683746862758,24.0,0.005728646093102176,0.6602504942109177,0.15582710257770277,0.08970005384327921,0.6583630639679935,0.14358601564256654,0.08618387729618476,0.3404203096372472,0.20744058677484073,0.3167261207457543,24.0,1000,24.0,1000,24.0,1000,1000,269,1000,258,1000,6,fit,1-component,269,fit,1-component,258,skipped,,6,ok,82.08
OC1,12.0,0.014771786293372289,0.48966294391975845,24.0,0.0014194843396872572,0.43005684409336314,0.2163938889433968,0.13750082152665355,0.40609214115607545,0.2115626616016115,0.13193804274028414,0.2796945554033123,0.35530913264360325,0.32771595743982657,24.0,1000,24.0,1000,24.0,1000,1000,180,1000,71,1000,5,fit,1-component,180,fit,1-component,71,skipped,,5,ok,134.33
